cdate,land_wa
2015-01-01,133.57
2015-01-02,143.66
2015-01-03,137.51
2015-01-04,135.72
2015-01-05,141.39
2015-01-06,143.2
2015-01-07,142.37
2015-01-08,142.13
2015-01-09,141.97
2015-01-10,139.9
2015-01-11,135.71
2015-01-12,142.75
2015-01-13,142.13
2015-01-14,142.98
2015-01-15,142.68
2015-01-16,143.16
2015-01-17,137.92
2015-01-18,134.4
2015-01-19,141.89
2015-01-20,142.05
2015-01-21,142.08
2015-01-22,141.58
2015-01-23,141.56
2015-01-24,136.05
2015-01-25,133.9
2015-01-26,141.33
2015-01-27,142.76
2015-01-28,141.6
2015-01-29,142.06
2015-01-30,141.99
2015-01-31,139.0
2015-02-01,122.25
2015-02-02,127.89
2015-02-03,128.17
2015-02-04,128.87
2015-02-05,128.68
2015-02-06,128.53
2015-02-07,126.71
2015-02-08,124.37
2015-02-09,129.3
2015-02-10,127.81
2015-02-11,128.99
2015-02-12,129.23
2015-02-13,128.67
2015-02-14,125.77
2015-02-15,121.6
2015-02-16,126.6
2015-02-17,125.15
2015-02-18,89.4
2015-02-19,63.4
2015-02-20,62.26
2015-02-21,78.76
2015-02-22,118.69
2015-02-23,127.85
2015-02-24,128.22
2015-02-25,128.0
2015-02-26,127.82
2015-02-27,127.01
2015-02-28,122.75
2015-03-01,114.42
2015-03-02,118.8
2015-03-03,118.72
2015-03-04,121.06
2015-03-05,120.27
2015-03-06,121.03
2015-03-07,119.96
2015-03-08,116.0
2015-03-09,120.98
2015-03-10,122.03
2015-03-11,120.52
2015-03-12,121.11
2015-03-13,121.59
2015-03-14,119.89
2015-03-15,115.96
2015-03-16,119.99
2015-03-17,119.05
2015-03-18,119.54
2015-03-19,118.23
2015-03-20,118.52
2015-03-21,114.56
2015-03-22,113.03
2015-03-23,118.21
2015-03-24,117.95
2015-03-25,117.21
2015-03-26,116.98
2015-03-27,117.56
2015-03-28,115.23
2015-03-29,112.67
2015-03-30,116.52
2015-03-31,116.19
2015-04-01,103.76
2015-04-02,104.27
2015-04-03,104.49
2015-04-04,103.28
2015-04-05,100.49
2015-04-06,104.78
2015-04-07,105.12
2015-04-08,105.29
2015-04-09,106.04
2015-04-10,105.74
2015-04-11,105.28
2015-04-12,102.29
2015-04-13,105.14
2015-04-14,104.57
2015-04-15,103.67
2015-04-16,103.28
2015-04-17,103.06
2015-04-18,102.05
2015-04-19,100.13
2015-04-20,103.49
2015-04-21,103.94
2015-04-22,103.69
2015-04-23,103.43
2015-04-24,103.42
2015-04-25,100.43
2015-04-26,98.2
2015-04-27,101.72
2015-04-28,102.88
2015-04-29,102.99
2015-04-30,103.63
2015-05-01,93.79
2015-05-02,93.38
2015-05-03,91.76
2015-05-04,96.14
2015-05-05,93.49
2015-05-06,96.94
2015-05-07,97.28
2015-05-08,96.94
2015-05-09,96.18
2015-05-10,92.26
2015-05-11,96.73
2015-05-12,96.5
2015-05-13,97.89
2015-05-14,99.29
2015-05-15,96.98
2015-05-16,98.41
2015-05-17,92.95
2015-05-18,97.73
2015-05-19,97.37
2015-05-20,97.58
2015-05-21,97.18
2015-05-22,97.8
2015-05-23,98.26
2015-05-24,93.92
2015-05-25,94.17
2015-05-26,94.35
2015-05-27,99.25
2015-05-28,99.12
2015-05-29,99.81
2015-05-30,95.03
2015-05-31,92.69
2015-06-01,84.93
2015-06-02,86.76
2015-06-03,86.85
2015-06-04,86.63
2015-06-05,86.97
2015-06-06,85.27
2015-06-07,81.62
2015-06-08,81.25
2015-06-09,86.46
2015-06-10,86.33
2015-06-11,86.19
2015-06-12,86.39
2015-06-13,85.42
2015-06-14,75.2
2015-06-15,79.02
2015-06-16,86.4
2015-06-17,86.31
2015-06-18,86.58
2015-06-19,86.66
2015-06-20,86.27
2015-06-21,82.76
2015-06-22,80.26
2015-06-23,86.07
2015-06-24,86.36
2015-06-25,86.14
2015-06-26,85.38
2015-06-27,83.93
2015-06-28,69.19
2015-06-29,76.95
2015-06-30,84.85
2015-07-01,85.0
2015-07-02,84.94
2015-07-03,82.29
2015-07-04,81.01
2015-07-05,68.76
2015-07-06,74.74
2015-07-07,83.2
2015-07-08,83.75
2015-07-09,82.19
2015-07-10,84.14
2015-07-11,80.05
2015-07-12,64.91
2015-07-13,75.11
2015-07-14,85.55
2015-07-15,84.64
2015-07-16,82.79
2015-07-17,84.55
2015-07-18,83.66
2015-07-19,71.48
2015-07-20,76.24
2015-07-21,83.63
2015-07-22,85.61
2015-07-23,86.03
2015-07-24,86.13
2015-07-25,80.99
2015-07-26,71.1
2015-07-27,79.2
2015-07-28,86.23
2015-07-29,86.11
2015-07-30,86.57
2015-07-31,86.74
2015-08-01,88.18
2015-08-02,76.08
2015-08-03,77.95
2015-08-04,79.48
2015-08-05,83.19
2015-08-06,86.94
2015-08-07,90.48
2015-08-08,90.59
2015-08-09,78.97
2015-08-10,84.23
2015-08-11,90.91
2015-08-12,90.86
2015-08-13,91.0
2015-08-14,89.6
2015-08-15,90.23
2015-08-16,89.0
2015-08-17,91.11
2015-08-18,91.42
2015-08-19,91.0
2015-08-20,91.35
2015-08-21,91.25
2015-08-22,92.04
2015-08-23,89.57
2015-08-24,89.49
2015-08-25,90.11
2015-08-26,89.91
2015-08-27,90.19
2015-08-28,89.63
2015-08-29,91.03
2015-08-30,87.91
2015-08-31,84.7
2015-09-01,95.36
2015-09-02,95.57
2015-09-03,95.84
2015-09-04,95.74
2015-09-05,97.19
2015-09-06,95.23
2015-09-07,96.56
2015-09-08,95.72
2015-09-09,95.84
2015-09-10,96.18
2015-09-11,96.18
2015-09-12,99.6
2015-09-13,94.65
2015-09-14,95.57
2015-09-15,95.73
2015-09-16,95.16
2015-09-17,94.99
2015-09-18,95.02
2015-09-19,95.28
2015-09-20,92.2
2015-09-21,88.61
2015-09-22,95.05
2015-09-23,94.91
2015-09-24,95.32
2015-09-25,93.14
2015-09-26,53.7
2015-09-27,38.28
2015-09-28,47.01
2015-09-29,74.59
2015-09-30,85.73
2015-10-01,98.52
2015-10-02,99.67
2015-10-03,99.59
2015-10-04,93.83
2015-10-05,92.49
2015-10-06,99.32
2015-10-07,98.22
2015-10-08,98.55
2015-10-09,97.38
2015-10-10,99.23
2015-10-11,96.0
2015-10-12,99.39
2015-10-13,101.81
2015-10-14,99.57
2015-10-15,101.14
2015-10-16,101.39
2015-10-17,100.97
2015-10-18,94.51
2015-10-19,100.18
2015-10-20,99.07
2015-10-21,99.02
2015-10-22,101.43
2015-10-23,98.65
2015-10-24,96.22
2015-10-25,95.19
2015-10-26,98.16
2015-10-27,98.12
2015-10-28,97.13
2015-10-29,96.53
2015-10-30,97.71
2015-10-31,95.84
2015-11-01,85.33
2015-11-02,89.88
2015-11-03,94.71
2015-11-04,94.75
2015-11-05,95.02
2015-11-06,95.48
2015-11-07,99.42
2015-11-08,90.55
2015-11-09,93.89
2015-11-10,98.1
2015-11-11,96.67
2015-11-12,97.29
2015-11-13,101.18
2015-11-14,91.79
2015-11-15,91.66
2015-11-16,91.36
2015-11-17,95.54
2015-11-18,95.97
2015-11-19,95.77
2015-11-20,95.89
2015-11-21,93.81
2015-11-22,91.49
2015-11-23,91.18
2015-11-24,102.23
2015-11-25,98.06
2015-11-26,95.39
2015-11-27,96.48
2015-11-28,99.12
2015-11-29,92.86
2015-11-30,91.33
2015-12-01,97.72
2015-12-02,96.4
2015-12-03,95.87
2015-12-04,97.37
2015-12-05,98.67
2015-12-06,93.2
2015-12-07,97.57
2015-12-08,96.58
2015-12-09,96.85
2015-12-10,96.78
2015-12-11,96.01
2015-12-12,94.27
2015-12-13,92.6
2015-12-14,95.91
2015-12-15,95.83
2015-12-16,100.17
2015-12-17,97.5
2015-12-18,95.75
2015-12-19,93.83
2015-12-20,92.51
2015-12-21,95.8
2015-12-22,95.82
2015-12-23,95.84
2015-12-24,95.09
2015-12-25,93.2
2015-12-26,92.73
2015-12-27,83.66
2015-12-28,93.18
2015-12-29,95.97
2015-12-30,97.75
2015-12-31,93.59
2016-01-01,70.81
2016-01-02,75.07
2016-01-03,77.71
2016-01-04,89.15
2016-01-05,90.04
2016-01-06,90.46
2016-01-07,91.53
2016-01-08,90.42
2016-01-09,88.21
2016-01-10,86.48
2016-01-11,90.1
2016-01-12,97.34
2016-01-13,90.28
2016-01-14,93.51
2016-01-15,92.65
2016-01-16,89.85
2016-01-17,87.72
2016-01-18,93.06
2016-01-19,92.08
2016-01-20,92.63
2016-01-21,97.01
2016-01-22,92.28
2016-01-23,92.81
2016-01-24,88.74
2016-01-25,97.73
2016-01-26,92.46
2016-01-27,97.42
2016-01-28,93.16
2016-01-29,98.06
2016-01-30,90.01
2016-01-31,87.81
2016-02-01,92.09
2016-02-02,91.79
2016-02-03,91.09
2016-02-04,92.14
2016-02-05,89.68
2016-02-06,88.64
2016-02-07,78.3
2016-02-08,59.32
2016-02-09,53.4
2016-02-10,73.02
2016-02-11,86.15
2016-02-12,90.81
2016-02-13,90.12
2016-02-14,88.89
2016-02-15,91.64
2016-02-16,91.74
2016-02-17,90.63
2016-02-18,91.28
2016-02-19,89.24
2016-02-20,89.19
2016-02-21,86.67
2016-02-22,90.62
2016-02-23,89.8
2016-02-24,91.49
2016-02-25,89.92
2016-02-26,91.01
2016-02-27,88.53
2016-02-28,87.73
2016-02-29,90.87
2016-03-01,86.77
2016-03-02,89.58
2016-03-03,88.85
2016-03-04,89.19
2016-03-05,89.13
2016-03-06,86.34
2016-03-07,89.16
2016-03-08,89.39
2016-03-09,88.7
2016-03-10,89.02
2016-03-11,89.6
2016-03-12,89.08
2016-03-13,85.92
2016-03-14,87.6
2016-03-15,87.53
2016-03-16,87.39
2016-03-17,87.57
2016-03-18,87.11
2016-03-19,84.61
2016-03-20,83.61
2016-03-21,88.85
2016-03-22,87.29
2016-03-23,86.98
2016-03-24,87.08
2016-03-25,86.93
2016-03-26,84.59
2016-03-27,82.82
2016-03-28,84.12
2016-03-29,86.59
2016-03-30,86.52
2016-03-31,86.57
2016-04-01,75.76
2016-04-02,74.07
2016-04-03,78.68
2016-04-04,80.07
2016-04-05,75.46
2016-04-06,78.28
2016-04-07,80.26
2016-04-08,76.72
2016-04-09,74.94
2016-04-10,75.59
2016-04-11,76.12
2016-04-12,78.95
2016-04-13,76.09
2016-04-14,74.99
2016-04-15,74.91
2016-04-16,74.14
2016-04-17,76.03
2016-04-18,73.66
2016-04-19,75.56
2016-04-20,75.55
2016-04-21,75.45
2016-04-22,77.43
2016-04-23,73.88
2016-04-24,58.28
2016-04-25,71.62
2016-04-26,76.38
2016-04-27,75.51
2016-04-28,75.18
2016-04-29,74.94
2016-04-30,73.03
2016-05-01,57.23
2016-05-02,64.64
2016-05-03,69.25
2016-05-04,69.32
2016-05-05,66.74
2016-05-06,67.79
2016-05-07,67.79
2016-05-08,61.51
2016-05-09,66.41
2016-05-10,69.56
2016-05-11,69.97
2016-05-12,69.19
2016-05-13,69.56
2016-05-14,70.92
2016-05-15,66.45
2016-05-16,68.07
2016-05-17,70.62
2016-05-18,70.91
2016-05-19,71.2
2016-05-20,71.3
2016-05-21,70.0
2016-05-22,66.89
2016-05-23,68.96
2016-05-24,70.36
2016-05-25,70.84
2016-05-26,70.57
2016-05-27,71.09
2016-05-28,71.11
2016-05-29,67.12
2016-05-30,69.08
2016-05-31,71.1
2016-06-01,65.21
2016-06-02,65.1
2016-06-03,64.82
2016-06-04,65.05
2016-06-05,62.46
2016-06-06,64.52
2016-06-07,63.11
2016-06-08,65.18
2016-06-09,65.18
2016-06-10,65.71
2016-06-11,65.07
2016-06-12,63.12
2016-06-13,63.37
2016-06-14,65.51
2016-06-15,65.45
2016-06-16,65.7
2016-06-17,65.25
2016-06-18,66.4
2016-06-19,63.82
2016-06-20,63.31
2016-06-21,66.07
2016-06-22,66.58
2016-06-23,66.72
2016-06-24,66.37
2016-06-25,66.59
2016-06-26,64.86
2016-06-27,65.56
2016-06-28,65.67
2016-06-29,65.67
2016-06-30,65.78
2016-07-01,67.8
2016-07-02,66.94
2016-07-03,65.04
2016-07-04,64.32
2016-07-05,67.18
2016-07-06,66.79
2016-07-07,67.66
2016-07-08,68.01
