id,cdate,land_wa,jeju_wa
1,2015-01-01,133.57,159.17
2,2015-01-02,143.66,164.54
3,2015-01-03,137.51,164.8
4,2015-01-04,135.72,158.08
5,2015-01-05,141.39,177.85
6,2015-01-06,143.2,164.65
7,2015-01-07,142.37,155.81
8,2015-01-08,142.13,165.17
9,2015-01-09,141.97,167.22
10,2015-01-10,139.9,164.69
11,2015-01-11,135.71,163.35
12,2015-01-12,142.75,169.85
13,2015-01-13,142.13,156.41
14,2015-01-14,142.98,156.7
15,2015-01-15,142.68,156.64
16,2015-01-16,143.16,165.23
17,2015-01-17,137.92,163.1
18,2015-01-18,134.4,158.4
19,2015-01-19,141.89,166.42
20,2015-01-20,142.05,172.61
21,2015-01-21,142.08,156.67
22,2015-01-22,141.58,164.94
23,2015-01-23,141.56,162.36
24,2015-01-24,136.05,158.24
25,2015-01-25,133.9,156.78
26,2015-01-26,141.33,158.23
27,2015-01-27,142.76,165.8
28,2015-01-28,141.6,177.72
29,2015-01-29,142.06,164.57
30,2015-01-30,141.99,167.65
31,2015-01-31,139.0,171.06
32,2015-02-01,122.25,139.54
33,2015-02-02,127.89,138.98
34,2015-02-03,128.17,130.33
35,2015-02-04,128.87,137.25
36,2015-02-05,128.68,140.01
37,2015-02-06,128.53,130.56
38,2015-02-07,126.71,131.94
39,2015-02-08,124.37,140.77
40,2015-02-09,129.3,139.03
41,2015-02-10,127.81,137.68
42,2015-02-11,128.99,139.63
43,2015-02-12,129.23,139.76
44,2015-02-13,128.67,142.15
45,2015-02-14,125.77,141.13
46,2015-02-15,121.6,131.79
47,2015-02-16,126.6,138.03
48,2015-02-17,125.15,139.03
49,2015-02-18,89.4,140.58
50,2015-02-19,63.4,126.54
51,2015-02-20,62.26,136.82
52,2015-02-21,78.76,137.74
53,2015-02-22,118.69,131.03
54,2015-02-23,127.85,138.39
55,2015-02-24,128.22,137.26
56,2015-02-25,128.0,130.52
57,2015-02-26,127.82,136.85
58,2015-02-27,127.01,142.05
59,2015-02-28,122.75,143.59
60,2015-03-01,114.42,114.41
61,2015-03-02,118.8,117.2
62,2015-03-03,118.72,115.87
63,2015-03-04,121.06,120.96
64,2015-03-05,120.27,117.06
65,2015-03-06,121.03,116.22
66,2015-03-07,119.96,121.28
67,2015-03-08,116.0,115.81
68,2015-03-09,120.98,120.77
69,2015-03-10,122.03,121.98
70,2015-03-11,120.52,117.45
71,2015-03-12,121.11,119.65
72,2015-03-13,121.59,121.51
73,2015-03-14,119.89,119.91
74,2015-03-15,115.96,116.03
75,2015-03-16,119.99,117.07
76,2015-03-17,119.05,117.2
77,2015-03-18,119.54,117.99
78,2015-03-19,118.23,118.08
79,2015-03-20,118.52,118.29
80,2015-03-21,114.56,114.54
81,2015-03-22,113.03,112.64
82,2015-03-23,118.21,118.0
83,2015-03-24,117.95,117.88
84,2015-03-25,117.21,122.99
85,2015-03-26,116.98,122.27
86,2015-03-27,117.56,122.39
87,2015-03-28,115.23,115.27
88,2015-03-29,112.67,112.63
89,2015-03-30,116.52,116.37
90,2015-03-31,116.19,116.08
91,2015-04-01,103.76,133.18
92,2015-04-02,104.27,131.65
93,2015-04-03,104.49,130.91
94,2015-04-04,103.28,131.0
95,2015-04-05,100.49,133.82
96,2015-04-06,104.78,131.27
97,2015-04-07,105.12,130.9
98,2015-04-08,105.29,131.21
99,2015-04-09,106.04,131.04
100,2015-04-10,105.74,131.74
101,2015-04-11,105.28,129.48
102,2015-04-12,102.29,131.33
103,2015-04-13,105.14,131.55
104,2015-04-14,104.57,129.94
105,2015-04-15,103.67,131.24
106,2015-04-16,103.28,133.04
107,2015-04-17,103.06,132.15
108,2015-04-18,102.05,129.91
109,2015-04-19,100.13,132.72
110,2015-04-20,103.49,134.63
111,2015-04-21,103.94,130.98
112,2015-04-22,103.69,133.65
113,2015-04-23,103.43,131.39
114,2015-04-24,103.42,131.98
115,2015-04-25,100.43,132.76
