cdate,jeju_wa
2015-01-01,159.17
2015-01-02,164.54
2015-01-03,164.8
2015-01-04,158.08
2015-01-05,177.85
2015-01-06,164.65
2015-01-07,155.81
2015-01-08,165.17
2015-01-09,167.22
2015-01-10,164.69
2015-01-11,163.35
2015-01-12,169.85
2015-01-13,156.41
2015-01-14,156.7
2015-01-15,156.64
2015-01-16,165.23
2015-01-17,163.1
2015-01-18,158.4
2015-01-19,166.42
2015-01-20,172.61
2015-01-21,156.67
2015-01-22,164.94
2015-01-23,162.36
2015-01-24,158.24
2015-01-25,156.78
2015-01-26,158.23
2015-01-27,165.8
2015-01-28,177.72
2015-01-29,164.57
2015-01-30,167.65
2015-01-31,171.06
2015-02-01,139.54
2015-02-02,138.98
2015-02-03,130.33
2015-02-04,137.25
2015-02-05,140.01
2015-02-06,130.56
2015-02-07,131.94
2015-02-08,140.77
2015-02-09,139.03
2015-02-10,137.68
2015-02-11,139.63
2015-02-12,139.76
2015-02-13,142.15
2015-02-14,141.13
2015-02-15,131.79
2015-02-16,138.03
2015-02-17,139.03
2015-02-18,140.58
2015-02-19,126.54
2015-02-20,136.82
2015-02-21,137.74
2015-02-22,131.03
2015-02-23,138.39
2015-02-24,137.26
2015-02-25,130.52
2015-02-26,136.85
2015-02-27,142.05
2015-02-28,143.59
2015-03-01,114.41
2015-03-02,117.2
2015-03-03,115.87
2015-03-04,120.96
2015-03-05,117.06
2015-03-06,116.22
2015-03-07,121.28
2015-03-08,115.81
2015-03-09,120.77
2015-03-10,121.98
2015-03-11,117.45
2015-03-12,119.65
2015-03-13,121.51
2015-03-14,119.91
2015-03-15,116.03
2015-03-16,117.07
2015-03-17,117.2
2015-03-18,117.99
2015-03-19,118.08
2015-03-20,118.29
2015-03-21,114.54
2015-03-22,112.64
2015-03-23,118.0
2015-03-24,117.88
2015-03-25,122.99
2015-03-26,122.27
2015-03-27,122.39
2015-03-28,115.27
2015-03-29,112.63
2015-03-30,116.37
2015-03-31,116.08
2015-04-01,133.18
2015-04-02,131.65
2015-04-03,130.91
2015-04-04,131.0
2015-04-05,133.82
2015-04-06,131.27
2015-04-07,130.9
2015-04-08,131.21
2015-04-09,131.04
2015-04-10,131.74
2015-04-11,129.48
2015-04-12,131.33
2015-04-13,131.55
2015-04-14,129.94
2015-04-15,131.24
2015-04-16,133.04
2015-04-17,132.15
2015-04-18,129.91
2015-04-19,132.72
2015-04-20,134.63
2015-04-21,130.98
2015-04-22,133.65
2015-04-23,131.39
2015-04-24,131.98
2015-04-25,132.76
2015-04-26,133.7
2015-04-27,135.48
2015-04-28,134.79
2015-04-29,133.03
2015-04-30,132.25
2015-05-01,132.83
2015-05-02,133.21
2015-05-03,133.74
2015-05-04,130.24
2015-05-05,129.39
2015-05-06,132.45
2015-05-07,132.97
2015-05-08,134.55
2015-05-09,131.96
2015-05-10,129.81
2015-05-11,127.84
2015-05-12,133.06
2015-05-13,131.08
2015-05-14,131.28
2015-05-15,128.67
2015-05-16,127.45
2015-05-17,133.03
2015-05-18,131.7
2015-05-19,128.5
2015-05-20,118.97
2015-05-21,128.82
2015-05-22,130.37
2015-05-23,128.26
2015-05-24,128.82
2015-05-25,131.67
2015-05-26,135.99
2015-05-27,123.3
2015-05-28,128.37
2015-05-29,136.36
2015-05-30,139.97
2015-05-31,134.56
2015-06-01,132.51
2015-06-02,135.83
2015-06-03,133.18
2015-06-04,133.86
2015-06-05,133.11
2015-06-06,132.45
2015-06-07,136.45
2015-06-08,133.93
2015-06-09,145.65
2015-06-10,132.64
2015-06-11,136.46
2015-06-12,134.91
2015-06-13,131.49
2015-06-14,129.51
2015-06-15,135.75
2015-06-16,133.93
2015-06-17,130.38
2015-06-18,134.96
2015-06-19,137.28
2015-06-20,126.38
2015-06-21,133.71
2015-06-22,133.26
2015-06-23,133.53
2015-06-24,131.41
2015-06-25,119.75
2015-06-26,126.64
2015-06-27,128.64
2015-06-28,128.15
2015-06-29,119.18
2015-06-30,119.47
2015-07-01,131.59
2015-07-02,130.77
2015-07-03,131.71
2015-07-04,132.97
2015-07-05,135.17
2015-07-06,137.22
2015-07-07,130.93
2015-07-08,128.87
2015-07-09,129.85
2015-07-10,130.17
2015-07-11,129.73
2015-07-12,131.0
2015-07-13,131.27
2015-07-14,132.86
2015-07-15,133.18
2015-07-16,130.78
2015-07-17,131.34
2015-07-18,127.23
2015-07-19,126.75
2015-07-20,134.43
2015-07-21,131.2
2015-07-22,130.69
2015-07-23,129.95
2015-07-24,142.96
2015-07-25,130.58
2015-07-26,129.76
2015-07-27,142.02
2015-07-28,142.7
2015-07-29,141.58
2015-07-30,142.92
2015-07-31,141.16
2015-08-01,127.98
2015-08-02,134.15
2015-08-03,140.04
2015-08-04,137.08
2015-08-05,137.52
2015-08-06,142.08
2015-08-07,139.68
2015-08-08,138.95
2015-08-09,136.33
2015-08-10,135.74
2015-08-11,139.07
2015-08-12,140.5
2015-08-13,136.89
2015-08-14,135.96
2015-08-15,138.2
2015-08-16,137.52
2015-08-17,139.12
2015-08-18,122.97
2015-08-19,124.47
2015-08-20,135.64
2015-08-21,134.09
2015-08-22,141.41
2015-08-23,140.5
2015-08-24,136.06
2015-08-25,124.05
2015-08-26,123.28
2015-08-27,132.58
2015-08-28,124.24
2015-08-29,123.99
2015-08-30,124.74
2015-08-31,122.13
2015-09-01,111.69
2015-09-02,111.08
2015-09-03,110.09
2015-09-04,109.77
2015-09-05,114.79
2015-09-06,120.64
2015-09-07,110.52
2015-09-08,126.07
2015-09-09,111.41
2015-09-10,110.78
2015-09-11,109.83
2015-09-12,119.52
2015-09-13,118.23
2015-09-14,125.64
2015-09-15,117.89
2015-09-16,118.83
2015-09-17,127.66
2015-09-18,127.06
2015-09-19,123.98
2015-09-20,125.79
2015-09-21,126.05
2015-09-22,127.41
2015-09-23,119.96
2015-09-24,117.91
2015-09-25,122.45
2015-09-26,118.64
2015-09-27,114.83
2015-09-28,117.87
2015-09-29,118.8
2015-09-30,119.96
2015-10-01,106.56
2015-10-02,110.21
2015-10-03,108.93
2015-10-04,102.7
2015-10-05,107.16
2015-10-06,106.11
2015-10-07,107.41
2015-10-08,97.83
2015-10-09,101.22
2015-10-10,108.96
2015-10-11,100.54
2015-10-12,108.7
2015-10-13,105.89
2015-10-14,103.23
2015-10-15,104.97
2015-10-16,106.21
2015-10-17,105.54
2015-10-18,94.37
2015-10-19,101.92
2015-10-20,103.55
2015-10-21,102.97
2015-10-22,105.69
2015-10-23,102.95
2015-10-24,101.82
2015-10-25,103.92
2015-10-26,105.34
2015-10-27,104.0
2015-10-28,103.6
2015-10-29,101.38
2015-10-30,103.06
2015-10-31,95.77
2015-11-01,99.51
2015-11-02,99.17
2015-11-03,94.48
2015-11-04,100.43
2015-11-05,107.81
2015-11-06,100.32
2015-11-07,106.85
2015-11-08,106.95
2015-11-09,102.05
2015-11-10,99.78
2015-11-11,106.58
2015-11-12,107.95
2015-11-13,104.0
2015-11-14,91.78
2015-11-15,92.03
2015-11-16,94.01
2015-11-17,95.42
2015-11-18,95.96
2015-11-19,95.77
2015-11-20,95.73
2015-11-21,93.67
2015-11-22,99.53
2015-11-23,96.19
2015-11-24,104.41
2015-11-25,100.04
2015-11-26,100.69
2015-11-27,100.73
2015-11-28,100.18
2015-11-29,92.04
2015-11-30,95.01
2015-12-01,101.63
2015-12-02,96.46
2015-12-03,95.71
2015-12-04,101.26
2015-12-05,114.51
2015-12-06,113.44
2015-12-07,101.93
2015-12-08,105.0
2015-12-09,96.81
2015-12-10,96.35
2015-12-11,95.92
2015-12-12,94.26
2015-12-13,92.14
2015-12-14,95.76
2015-12-15,101.09
2015-12-16,109.26
2015-12-17,106.57
2015-12-18,101.66
2015-12-19,99.85
2015-12-20,102.52
2015-12-21,102.38
2015-12-22,95.78
2015-12-23,95.54
2015-12-24,95.03
2015-12-25,99.49
2015-12-26,100.9
2015-12-27,102.57
2015-12-28,101.59
2015-12-29,108.69
2015-12-30,110.3
2015-12-31,93.21
2016-01-01,90.76
2016-01-02,99.99
2016-01-03,86.91
2016-01-04,90.4
2016-01-05,97.29
2016-01-06,96.72
2016-01-07,91.2
2016-01-08,98.53
2016-01-09,103.51
2016-01-10,98.35
2016-01-11,96.66
2016-01-12,103.18
2016-01-13,90.08
2016-01-14,96.6
2016-01-15,98.65
2016-01-16,104.69
2016-01-17,103.0
2016-01-18,96.65
2016-01-19,98.97
2016-01-20,98.34
2016-01-21,103.86
2016-01-22,110.48
2016-01-23,109.87
2016-01-24,102.16
2016-01-25,98.01
2016-01-26,92.4
2016-01-27,97.88
2016-01-28,93.09
2016-01-29,99.32
2016-01-30,89.83
2016-01-31,89.48
2016-02-01,91.98
2016-02-02,91.43
2016-02-03,89.74
2016-02-04,92.08
2016-02-05,89.56
2016-02-06,89.57
2016-02-07,80.82
2016-02-08,67.33
2016-02-09,70.64
2016-02-10,81.79
2016-02-11,87.23
2016-02-12,90.07
2016-02-13,88.99
2016-02-14,88.87
2016-02-15,91.54
2016-02-16,91.27
2016-02-17,89.75
2016-02-18,91.19
2016-02-19,89.18
2016-02-20,89.21
2016-02-21,86.69
2016-02-22,90.52
2016-02-23,87.72
2016-02-24,91.1
2016-02-25,89.35
2016-02-26,90.44
2016-02-27,88.54
2016-02-28,90.44
2016-02-29,89.58
2016-03-01,81.65
2016-03-02,82.27
2016-03-03,84.66
2016-03-04,86.75
2016-03-05,86.32
2016-03-06,84.1
2016-03-07,83.65
2016-03-08,84.53
2016-03-09,87.74
2016-03-10,87.85
2016-03-11,85.03
2016-03-12,87.29
2016-03-13,85.97
2016-03-14,87.43
2016-03-15,85.82
2016-03-16,79.38
2016-03-17,73.22
2016-03-18,77.7
2016-03-19,84.61
2016-03-20,83.61
2016-03-21,85.89
2016-03-22,87.27
2016-03-23,86.23
2016-03-24,85.83
2016-03-25,86.91
2016-03-26,82.74
2016-03-27,82.86
2016-03-28,84.77
2016-03-29,85.41
2016-03-30,81.79
2016-03-31,82.38
2016-04-01,75.66
2016-04-02,77.72
2016-04-03,80.26
2016-04-04,79.87
2016-04-05,75.45
2016-04-06,83.22
2016-04-07,81.69
2016-04-08,79.9
2016-04-09,77.47
2016-04-10,77.77
2016-04-11,79.83
2016-04-12,79.34
2016-04-13,77.24
2016-04-14,74.62
2016-04-15,79.02
2016-04-16,79.1
2016-04-17,79.95
2016-04-18,74.76
2016-04-19,75.52
2016-04-20,75.35
2016-04-21,75.39
2016-04-22,78.64
2016-04-23,73.3
2016-04-24,74.06
2016-04-25,74.79
2016-04-26,78.02
2016-04-27,75.49
2016-04-28,75.14
2016-04-29,74.87
2016-04-30,73.04
2016-05-01,75.53
2016-05-02,75.68
2016-05-03,75.77
2016-05-04,76.11
2016-05-05,74.35
2016-05-06,74.99
2016-05-07,74.89
2016-05-08,76.07
2016-05-09,75.09
2016-05-10,73.66
2016-05-11,75.15
2016-05-12,75.45
2016-05-13,76.16
2016-05-14,73.4
2016-05-15,76.83
2016-05-16,75.99
2016-05-17,75.37
2016-05-18,75.77
2016-05-19,75.36
2016-05-20,74.85
2016-05-21,75.01
2016-05-22,73.78
2016-05-23,72.62
2016-05-24,76.19
2016-05-25,75.01
2016-05-26,75.66
2016-05-27,75.17
2016-05-28,82.3
2016-05-29,76.94
2016-05-30,76.69
2016-05-31,75.46
2016-06-01,80.36
2016-06-02,78.2
2016-06-03,81.1
2016-06-04,77.17
2016-06-05,76.83
2016-06-06,80.25
2016-06-07,81.41
2016-06-08,82.56
2016-06-09,81.92
2016-06-10,85.8
2016-06-11,85.21
2016-06-12,82.41
2016-06-13,86.83
2016-06-14,87.13
2016-06-15,91.46
2016-06-16,86.59
2016-06-17,88.35
2016-06-18,81.97
2016-06-19,89.53
2016-06-20,83.46
2016-06-21,81.75
2016-06-22,82.21
2016-06-23,77.12
2016-06-24,83.76
2016-06-25,80.73
2016-06-26,78.74
2016-06-27,80.27
2016-06-28,83.86
2016-06-29,82.95
2016-06-30,77.77
2016-07-01,86.25
2016-07-02,88.77
2016-07-03,89.8
2016-07-04,93.96
2016-07-05,95.64
