base_date,base_time,target_date,city,city_code,temp_min,temp_max
2021-07-19,06:00:00,2021-07-22,busan,11H20201,25.0,32.0
2021-07-19,06:00:00,2021-07-22,chungbuk,11C10301,24.0,34.0
2021-07-19,06:00:00,2021-07-22,chungnam,11C20401,25.0,35.0
2021-07-19,06:00:00,2021-07-22,daegu,11H10701,23.0,33.0
2021-07-19,06:00:00,2021-07-22,daejeon,11C20401,25.0,35.0
2021-07-19,06:00:00,2021-07-22,gangwon,11D10301,23.0,35.0
2021-07-19,06:00:00,2021-07-22,gwangju,11F20501,24.0,34.0
2021-07-19,06:00:00,2021-07-22,gyeongbuk,11H10701,23.0,33.0
2021-07-19,06:00:00,2021-07-22,gyeonggi,11B20601,25.0,36.0
2021-07-19,06:00:00,2021-07-22,gyeongnam,11H20301,23.0,33.0
2021-07-19,06:00:00,2021-07-22,incheon,11B20201,25.0,34.0
2021-07-19,06:00:00,2021-07-22,jeju,11G00201,26.0,33.0
2021-07-19,06:00:00,2021-07-22,jeonbuk,11F10201,23.0,35.0
2021-07-19,06:00:00,2021-07-22,jeonnam,21F20804,23.0,32.0
2021-07-19,06:00:00,2021-07-22,sejong,11C20404,24.0,35.0
2021-07-19,06:00:00,2021-07-22,seoul,11B10101,26.0,36.0
2021-07-19,06:00:00,2021-07-22,ulsan,11H20101,24.0,31.0
2021-07-19,06:00:00,2021-07-23,busan,11H20201,25.0,31.0
2021-07-19,06:00:00,2021-07-23,chungbuk,11C10301,24.0,33.0
2021-07-19,06:00:00,2021-07-23,chungnam,11C20401,25.0,35.0
2021-07-19,06:00:00,2021-07-23,daegu,11H10701,24.0,34.0
2021-07-19,06:00:00,2021-07-23,daejeon,11C20401,25.0,35.0
2021-07-19,06:00:00,2021-07-23,gangwon,11D10301,23.0,36.0
2021-07-19,06:00:00,2021-07-23,gwangju,11F20501,24.0,34.0
2021-07-19,06:00:00,2021-07-23,gyeongbuk,11H10701,24.0,34.0
2021-07-19,06:00:00,2021-07-23,gyeonggi,11B20601,25.0,35.0
2021-07-19,06:00:00,2021-07-23,gyeongnam,11H20301,23.0,34.0
2021-07-19,06:00:00,2021-07-23,incheon,11B20201,26.0,33.0
2021-07-19,06:00:00,2021-07-23,jeju,11G00201,26.0,32.0
2021-07-19,06:00:00,2021-07-23,jeonbuk,11F10201,24.0,34.0
2021-07-19,06:00:00,2021-07-23,jeonnam,21F20804,23.0,33.0
2021-07-19,06:00:00,2021-07-23,sejong,11C20404,24.0,34.0
2021-07-19,06:00:00,2021-07-23,seoul,11B10101,26.0,35.0
2021-07-19,06:00:00,2021-07-23,ulsan,11H20101,24.0,31.0
2021-07-19,06:00:00,2021-07-24,busan,11H20201,25.0,31.0
2021-07-19,06:00:00,2021-07-24,chungbuk,11C10301,24.0,33.0
2021-07-19,06:00:00,2021-07-24,chungnam,11C20401,25.0,34.0
2021-07-19,06:00:00,2021-07-24,daegu,11H10701,25.0,33.0
2021-07-19,06:00:00,2021-07-24,daejeon,11C20401,25.0,34.0
