,base_date,base_time,target_date,city,city_code,temp_min,temp_max
0,2021-06-25,06:00:00,2021-06-28,busan,11H20201,,
1,2021-06-25,06:00:00,2021-06-28,chungbuk,11C10301,,
2,2021-06-25,06:00:00,2021-06-28,chungnam,11C20401,,
3,2021-06-25,06:00:00,2021-06-28,daegu,11H10701,,
4,2021-06-25,06:00:00,2021-06-28,daejeon,11C20401,,
5,2021-06-25,06:00:00,2021-06-28,gangwon,11D10301,,
6,2021-06-25,06:00:00,2021-06-28,gwangju,11F20501,,
7,2021-06-25,06:00:00,2021-06-28,gyeongbuk,11H10701,,
8,2021-06-25,06:00:00,2021-06-28,gyeonggi,11B20601,,
9,2021-06-25,06:00:00,2021-06-28,gyeongnam,11H20301,,
10,2021-06-25,06:00:00,2021-06-28,incheon,11B20201,,
11,2021-06-25,06:00:00,2021-06-28,jeju,11G00201,,
12,2021-06-25,06:00:00,2021-06-28,jeonbuk,11F10201,,
13,2021-06-25,06:00:00,2021-06-28,jeonnam,21F20804,,
14,2021-06-25,06:00:00,2021-06-28,sejong,11C20404,,
15,2021-06-25,06:00:00,2021-06-28,seoul,11B10101,,
16,2021-06-25,06:00:00,2021-06-28,ulsan,11H20101,,
17,2021-06-25,06:00:00,2021-06-29,busan,11H20201,,
18,2021-06-25,06:00:00,2021-06-29,chungbuk,11C10301,,
19,2021-06-25,06:00:00,2021-06-29,chungnam,11C20401,,
20,2021-06-25,06:00:00,2021-06-29,daegu,11H10701,,
21,2021-06-25,06:00:00,2021-06-29,daejeon,11C20401,,
22,2021-06-25,06:00:00,2021-06-29,gangwon,11D10301,,
23,2021-06-25,06:00:00,2021-06-29,gwangju,11F20501,,
24,2021-06-25,06:00:00,2021-06-29,gyeongbuk,11H10701,,
25,2021-06-25,06:00:00,2021-06-29,gyeonggi,11B20601,,
26,2021-06-25,06:00:00,2021-06-29,gyeongnam,11H20301,,
27,2021-06-25,06:00:00,2021-06-29,incheon,11B20201,,
28,2021-06-25,06:00:00,2021-06-29,jeju,11G00201,,
29,2021-06-25,06:00:00,2021-06-29,jeonbuk,11F10201,,
30,2021-06-25,06:00:00,2021-06-29,jeonnam,21F20804,,
31,2021-06-25,06:00:00,2021-06-29,sejong,11C20404,,
32,2021-06-25,06:00:00,2021-06-29,seoul,11B10101,,
33,2021-06-25,06:00:00,2021-06-29,ulsan,11H20101,,
34,2021-06-25,06:00:00,2021-06-30,busan,11H20201,,
35,2021-06-25,06:00:00,2021-06-30,chungbuk,11C10301,,
36,2021-06-25,06:00:00,2021-06-30,chungnam,11C20401,,
37,2021-06-25,06:00:00,2021-06-30,daegu,11H10701,,
38,2021-06-25,06:00:00,2021-06-30,daejeon,11C20401,,
39,2021-06-25,06:00:00,2021-06-30,gangwon,11D10301,,
40,2021-06-25,06:00:00,2021-06-30,gwangju,11F20501,,
41,2021-06-25,06:00:00,2021-06-30,gyeongbuk,11H10701,,
42,2021-06-25,06:00:00,2021-06-30,gyeonggi,11B20601,,
43,2021-06-25,06:00:00,2021-06-30,gyeongnam,11H20301,,
44,2021-06-25,06:00:00,2021-06-30,incheon,11B20201,,
45,2021-06-25,06:00:00,2021-06-30,jeju,11G00201,,
46,2021-06-25,06:00:00,2021-06-30,jeonbuk,11F10201,,
47,2021-06-25,06:00:00,2021-06-30,jeonnam,21F20804,,
48,2021-06-25,06:00:00,2021-06-30,sejong,11C20404,,
49,2021-06-25,06:00:00,2021-06-30,seoul,11B10101,,
50,2021-06-25,06:00:00,2021-06-30,ulsan,11H20101,,
51,2021-06-25,06:00:00,2021-07-01,busan,11H20201,,
52,2021-06-25,06:00:00,2021-07-01,chungbuk,11C10301,,
53,2021-06-25,06:00:00,2021-07-01,chungnam,11C20401,,
54,2021-06-25,06:00:00,2021-07-01,daegu,11H10701,,
55,2021-06-25,06:00:00,2021-07-01,daejeon,11C20401,,
56,2021-06-25,06:00:00,2021-07-01,gangwon,11D10301,,
57,2021-06-25,06:00:00,2021-07-01,gwangju,11F20501,,
58,2021-06-25,06:00:00,2021-07-01,gyeongbuk,11H10701,,
59,2021-06-25,06:00:00,2021-07-01,gyeonggi,11B20601,,
60,2021-06-25,06:00:00,2021-07-01,gyeongnam,11H20301,,
61,2021-06-25,06:00:00,2021-07-01,incheon,11B20201,,
62,2021-06-25,06:00:00,2021-07-01,jeju,11G00201,,
63,2021-06-25,06:00:00,2021-07-01,jeonbuk,11F10201,,
64,2021-06-25,06:00:00,2021-07-01,jeonnam,21F20804,,
65,2021-06-25,06:00:00,2021-07-01,sejong,11C20404,,
66,2021-06-25,06:00:00,2021-07-01,seoul,11B10101,,
67,2021-06-25,06:00:00,2021-07-01,ulsan,11H20101,,
68,2021-06-25,06:00:00,2021-07-02,busan,11H20201,,
69,2021-06-25,06:00:00,2021-07-02,chungbuk,11C10301,,
70,2021-06-25,06:00:00,2021-07-02,chungnam,11C20401,,
71,2021-06-25,06:00:00,2021-07-02,daegu,11H10701,,
72,2021-06-25,06:00:00,2021-07-02,daejeon,11C20401,,
73,2021-06-25,06:00:00,2021-07-02,gangwon,11D10301,,
74,2021-06-25,06:00:00,2021-07-02,gwangju,11F20501,,
