base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-19,16:30:00,2021-07-19,17:00:00,busan,98,76,28.0
2021-07-19,16:30:00,2021-07-19,17:00:00,chungbuk,69,107,27.0
2021-07-19,16:30:00,2021-07-19,17:00:00,chungnam,68,100,32.0
2021-07-19,16:30:00,2021-07-19,17:00:00,daegu,89,90,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,daejeon,67,100,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,gangwon,73,134,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,gwangju,58,74,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,gyeongbuk,89,91,32.0
2021-07-19,16:30:00,2021-07-19,17:00:00,gyeonggi,60,120,29.0
2021-07-19,16:30:00,2021-07-19,17:00:00,gyeongnam,91,77,30.0
2021-07-19,16:30:00,2021-07-19,17:00:00,incheon,55,124,29.0
2021-07-19,16:30:00,2021-07-19,17:00:00,jeju,52,38,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,jeonbuk,63,89,30.0
2021-07-19,16:30:00,2021-07-19,17:00:00,jeonnam,51,67,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,sejong,66,103,31.0
2021-07-19,16:30:00,2021-07-19,17:00:00,seoul,60,127,24.0
2021-07-19,16:30:00,2021-07-19,17:00:00,ulsan,102,84,29.0
2021-07-19,16:30:00,2021-07-19,18:00:00,busan,98,76,28.0
2021-07-19,16:30:00,2021-07-19,18:00:00,chungbuk,69,107,27.0
2021-07-19,16:30:00,2021-07-19,18:00:00,chungnam,68,100,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,daegu,89,90,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,daejeon,67,100,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,gangwon,73,134,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,gwangju,58,74,31.0
2021-07-19,16:30:00,2021-07-19,18:00:00,gyeongbuk,89,91,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,gyeonggi,60,120,28.0
2021-07-19,16:30:00,2021-07-19,18:00:00,gyeongnam,91,77,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,incheon,55,124,28.0
2021-07-19,16:30:00,2021-07-19,18:00:00,jeju,52,38,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,jeonbuk,63,89,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,jeonnam,51,67,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,sejong,66,103,30.0
2021-07-19,16:30:00,2021-07-19,18:00:00,seoul,60,127,24.0
2021-07-19,16:30:00,2021-07-19,18:00:00,ulsan,102,84,28.0
2021-07-19,16:30:00,2021-07-19,19:00:00,busan,98,76,27.0
2021-07-19,16:30:00,2021-07-19,19:00:00,chungbuk,69,107,27.0
2021-07-19,16:30:00,2021-07-19,19:00:00,chungnam,68,100,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,daegu,89,90,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,daejeon,67,100,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,gangwon,73,134,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,gwangju,58,74,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,gyeongbuk,89,91,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,gyeonggi,60,120,28.0
2021-07-19,16:30:00,2021-07-19,19:00:00,gyeongnam,91,77,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,incheon,55,124,27.0
2021-07-19,16:30:00,2021-07-19,19:00:00,jeju,52,38,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,jeonbuk,63,89,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,jeonnam,51,67,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,sejong,66,103,29.0
2021-07-19,16:30:00,2021-07-19,19:00:00,seoul,60,127,25.0
2021-07-19,16:30:00,2021-07-19,19:00:00,ulsan,102,84,28.0
2021-07-19,16:30:00,2021-07-19,20:00:00,busan,98,76,26.0
2021-07-19,16:30:00,2021-07-19,20:00:00,chungbuk,69,107,26.0
2021-07-19,16:30:00,2021-07-19,20:00:00,chungnam,68,100,28.0
2021-07-19,16:30:00,2021-07-19,20:00:00,daegu,89,90,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,daejeon,67,100,28.0
2021-07-19,16:30:00,2021-07-19,20:00:00,gangwon,73,134,28.0
2021-07-19,16:30:00,2021-07-19,20:00:00,gwangju,58,74,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,gyeongbuk,89,91,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,gyeonggi,60,120,29.0
2021-07-19,16:30:00,2021-07-19,20:00:00,gyeongnam,91,77,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,incheon,55,124,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,jeju,52,38,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,jeonbuk,63,89,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,jeonnam,51,67,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,sejong,66,103,27.0
2021-07-19,16:30:00,2021-07-19,20:00:00,seoul,60,127,26.0
2021-07-19,16:30:00,2021-07-19,20:00:00,ulsan,102,84,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,busan,98,76,26.0
2021-07-19,16:30:00,2021-07-19,21:00:00,chungbuk,69,107,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,chungnam,68,100,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,daegu,89,90,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,daejeon,67,100,28.0
2021-07-19,16:30:00,2021-07-19,21:00:00,gangwon,73,134,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,gwangju,58,74,27.0
2021-07-19,16:30:00,2021-07-19,21:00:00,gyeongbuk,89,91,27.0
