base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-06-29,11:30:00,2021-06-29,12:00:00,busan,98,76,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,chungbuk,69,107,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,chungnam,68,100,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,daegu,89,90,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,daejeon,67,100,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,gangwon,73,134,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,gwangju,58,74,26.0
2021-06-29,11:30:00,2021-06-29,12:00:00,gyeongbuk,89,91,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,gyeonggi,60,120,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,gyeongnam,91,77,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,incheon,55,124,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,jeju,52,38,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,jeonbuk,63,89,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,jeonnam,51,67,26.0
2021-06-29,11:30:00,2021-06-29,12:00:00,sejong,66,103,28.0
2021-06-29,11:30:00,2021-06-29,12:00:00,seoul,60,127,27.0
2021-06-29,11:30:00,2021-06-29,12:00:00,ulsan,102,84,26.0
2021-06-29,11:30:00,2021-06-29,13:00:00,busan,98,76,27.0
2021-06-29,11:30:00,2021-06-29,13:00:00,chungbuk,69,107,28.0
2021-06-29,11:30:00,2021-06-29,13:00:00,chungnam,68,100,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,daegu,89,90,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,daejeon,67,100,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,gangwon,73,134,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,gwangju,58,74,26.0
2021-06-29,11:30:00,2021-06-29,13:00:00,gyeongbuk,89,91,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,gyeonggi,60,120,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,gyeongnam,91,77,28.0
2021-06-29,11:30:00,2021-06-29,13:00:00,incheon,55,124,28.0
2021-06-29,11:30:00,2021-06-29,13:00:00,jeju,52,38,27.0
2021-06-29,11:30:00,2021-06-29,13:00:00,jeonbuk,63,89,28.0
2021-06-29,11:30:00,2021-06-29,13:00:00,jeonnam,51,67,26.0
2021-06-29,11:30:00,2021-06-29,13:00:00,sejong,66,103,29.0
2021-06-29,11:30:00,2021-06-29,13:00:00,seoul,60,127,28.0
2021-06-29,11:30:00,2021-06-29,13:00:00,ulsan,102,84,26.0
2021-06-29,11:30:00,2021-06-29,14:00:00,busan,98,76,26.0
2021-06-29,11:30:00,2021-06-29,14:00:00,chungbuk,69,107,28.0
2021-06-29,11:30:00,2021-06-29,14:00:00,chungnam,68,100,29.0
2021-06-29,11:30:00,2021-06-29,14:00:00,daegu,89,90,30.0
2021-06-29,11:30:00,2021-06-29,14:00:00,daejeon,67,100,29.0
2021-06-29,11:30:00,2021-06-29,14:00:00,gangwon,73,134,29.0
2021-06-29,11:30:00,2021-06-29,14:00:00,gwangju,58,74,27.0
2021-06-29,11:30:00,2021-06-29,14:00:00,gyeongbuk,89,91,30.0
2021-06-29,11:30:00,2021-06-29,14:00:00,gyeonggi,60,120,29.0
2021-06-29,11:30:00,2021-06-29,14:00:00,gyeongnam,91,77,28.0
2021-06-29,11:30:00,2021-06-29,14:00:00,incheon,55,124,28.0
2021-06-29,11:30:00,2021-06-29,14:00:00,jeju,52,38,26.0
2021-06-29,11:30:00,2021-06-29,14:00:00,jeonbuk,63,89,27.0
2021-06-29,11:30:00,2021-06-29,14:00:00,jeonnam,51,67,27.0
2021-06-29,11:30:00,2021-06-29,14:00:00,sejong,66,103,29.0
2021-06-29,11:30:00,2021-06-29,14:00:00,seoul,60,127,28.0
2021-06-29,11:30:00,2021-06-29,14:00:00,ulsan,102,84,26.0
2021-06-29,11:30:00,2021-06-29,15:00:00,busan,98,76,26.0
2021-06-29,11:30:00,2021-06-29,15:00:00,chungbuk,69,107,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,chungnam,68,100,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,daegu,89,90,29.0
2021-06-29,11:30:00,2021-06-29,15:00:00,daejeon,67,100,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,gangwon,73,134,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,gwangju,58,74,27.0
2021-06-29,11:30:00,2021-06-29,15:00:00,gyeongbuk,89,91,29.0
2021-06-29,11:30:00,2021-06-29,15:00:00,gyeonggi,60,120,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,gyeongnam,91,77,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,incheon,55,124,27.0
2021-06-29,11:30:00,2021-06-29,15:00:00,jeju,52,38,26.0
2021-06-29,11:30:00,2021-06-29,15:00:00,jeonbuk,63,89,27.0
2021-06-29,11:30:00,2021-06-29,15:00:00,jeonnam,51,67,27.0
2021-06-29,11:30:00,2021-06-29,15:00:00,sejong,66,103,27.0
2021-06-29,11:30:00,2021-06-29,15:00:00,seoul,60,127,28.0
2021-06-29,11:30:00,2021-06-29,15:00:00,ulsan,102,84,26.0
