base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-19,14:00:00,2021-07-19,15:00:00,busan,98,76,29.0
2021-07-19,14:00:00,2021-07-19,15:00:00,chungbuk,69,107,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,chungnam,68,100,32.0
2021-07-19,14:00:00,2021-07-19,15:00:00,daegu,89,90,30.0
2021-07-19,14:00:00,2021-07-19,15:00:00,daejeon,67,100,32.0
2021-07-19,14:00:00,2021-07-19,15:00:00,gangwon,73,134,32.0
2021-07-19,14:00:00,2021-07-19,15:00:00,gwangju,58,74,30.0
2021-07-19,14:00:00,2021-07-19,15:00:00,gyeongbuk,89,91,30.0
2021-07-19,14:00:00,2021-07-19,15:00:00,gyeonggi,60,120,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,gyeongnam,91,77,30.0
2021-07-19,14:00:00,2021-07-19,15:00:00,incheon,55,124,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,jeju,52,38,29.0
2021-07-19,14:00:00,2021-07-19,15:00:00,jeonbuk,63,89,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,jeonnam,51,67,30.0
2021-07-19,14:00:00,2021-07-19,15:00:00,sejong,66,103,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,seoul,60,127,31.0
2021-07-19,14:00:00,2021-07-19,15:00:00,ulsan,102,84,29.0
2021-07-19,14:00:00,2021-07-19,16:00:00,busan,98,76,29.0
2021-07-19,14:00:00,2021-07-19,16:00:00,chungbuk,69,107,31.0
2021-07-19,14:00:00,2021-07-19,16:00:00,chungnam,68,100,31.0
2021-07-19,14:00:00,2021-07-19,16:00:00,daegu,89,90,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,daejeon,67,100,32.0
2021-07-19,14:00:00,2021-07-19,16:00:00,gangwon,73,134,31.0
2021-07-19,14:00:00,2021-07-19,16:00:00,gwangju,58,74,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,gyeongbuk,89,91,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,gyeonggi,60,120,31.0
2021-07-19,14:00:00,2021-07-19,16:00:00,gyeongnam,91,77,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,incheon,55,124,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,jeju,52,38,29.0
2021-07-19,14:00:00,2021-07-19,16:00:00,jeonbuk,63,89,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,jeonnam,51,67,30.0
2021-07-19,14:00:00,2021-07-19,16:00:00,sejong,66,103,32.0
2021-07-19,14:00:00,2021-07-19,16:00:00,seoul,60,127,31.0
2021-07-19,14:00:00,2021-07-19,16:00:00,ulsan,102,84,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,busan,98,76,28.0
2021-07-19,14:00:00,2021-07-19,17:00:00,chungbuk,69,107,30.0
2021-07-19,14:00:00,2021-07-19,17:00:00,chungnam,68,100,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,daegu,89,90,30.0
2021-07-19,14:00:00,2021-07-19,17:00:00,daejeon,67,100,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,gangwon,73,134,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,gwangju,58,74,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,gyeongbuk,89,91,30.0
2021-07-19,14:00:00,2021-07-19,17:00:00,gyeonggi,60,120,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,gyeongnam,91,77,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,incheon,55,124,30.0
2021-07-19,14:00:00,2021-07-19,17:00:00,jeju,52,38,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,jeonbuk,63,89,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,jeonnam,51,67,29.0
2021-07-19,14:00:00,2021-07-19,17:00:00,sejong,66,103,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,seoul,60,127,31.0
2021-07-19,14:00:00,2021-07-19,17:00:00,ulsan,102,84,29.0
2021-07-19,14:00:00,2021-07-19,18:00:00,busan,98,76,28.0
2021-07-19,14:00:00,2021-07-19,18:00:00,chungbuk,69,107,29.0
2021-07-19,14:00:00,2021-07-19,18:00:00,chungnam,68,100,30.0
2021-07-19,14:00:00,2021-07-19,18:00:00,daegu,89,90,29.0
2021-07-19,14:00:00,2021-07-19,18:00:00,daejeon,67,100,30.0
