,base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
0,2021-06-25,17:00:00,2021-06-25,21:00:00,busan,98,76,22.0
2,2021-06-25,17:00:00,2021-06-25,21:00:00,chungnam,68,100,23.0
3,2021-06-25,17:00:00,2021-06-25,21:00:00,daegu,89,90,24.0
4,2021-06-25,17:00:00,2021-06-25,21:00:00,daejeon,67,100,23.0
6,2021-06-25,17:00:00,2021-06-25,21:00:00,gwangju,58,74,23.0
7,2021-06-25,17:00:00,2021-06-25,21:00:00,gyeongbuk,89,91,24.0
8,2021-06-25,17:00:00,2021-06-25,21:00:00,gyeonggi,60,120,22.0
9,2021-06-25,17:00:00,2021-06-25,21:00:00,gyeongnam,91,77,22.0
11,2021-06-25,17:00:00,2021-06-25,21:00:00,jeju,52,38,23.0
12,2021-06-25,17:00:00,2021-06-25,21:00:00,jeonbuk,63,89,23.0
13,2021-06-25,17:00:00,2021-06-25,21:00:00,jeonnam,51,67,23.0
14,2021-06-25,17:00:00,2021-06-25,21:00:00,sejong,66,103,23.0
16,2021-06-25,17:00:00,2021-06-25,21:00:00,ulsan,102,84,22.0
17,2021-06-25,17:00:00,2021-06-26,00:00:00,busan,98,76,21.0
18,2021-06-25,17:00:00,2021-06-26,00:00:00,chungbuk,69,107,22.0
19,2021-06-25,17:00:00,2021-06-26,00:00:00,chungnam,68,100,22.0
20,2021-06-25,17:00:00,2021-06-26,00:00:00,daegu,89,90,22.0
21,2021-06-25,17:00:00,2021-06-26,00:00:00,daejeon,67,100,22.0
22,2021-06-25,17:00:00,2021-06-26,00:00:00,gangwon,73,134,22.0
24,2021-06-25,17:00:00,2021-06-26,00:00:00,gyeongbuk,89,91,22.0
25,2021-06-25,17:00:00,2021-06-26,00:00:00,gyeonggi,60,120,21.0
26,2021-06-25,17:00:00,2021-06-26,00:00:00,gyeongnam,91,77,21.0
27,2021-06-25,17:00:00,2021-06-26,00:00:00,incheon,55,124,20.0
28,2021-06-25,17:00:00,2021-06-26,00:00:00,jeju,52,38,22.0
29,2021-06-25,17:00:00,2021-06-26,00:00:00,jeonbuk,63,89,22.0
30,2021-06-25,17:00:00,2021-06-26,00:00:00,jeonnam,51,67,21.0
31,2021-06-25,17:00:00,2021-06-26,00:00:00,sejong,66,103,22.0
32,2021-06-25,17:00:00,2021-06-26,00:00:00,seoul,60,127,22.0
33,2021-06-25,17:00:00,2021-06-26,00:00:00,ulsan,102,84,20.0
34,2021-06-25,17:00:00,2021-06-26,03:00:00,busan,98,76,20.0
35,2021-06-25,17:00:00,2021-06-26,03:00:00,chungbuk,69,107,21.0
36,2021-06-25,17:00:00,2021-06-26,03:00:00,chungnam,68,100,21.0
37,2021-06-25,17:00:00,2021-06-26,03:00:00,daegu,89,90,21.0
38,2021-06-25,17:00:00,2021-06-26,03:00:00,daejeon,67,100,21.0
39,2021-06-25,17:00:00,2021-06-26,03:00:00,gangwon,73,134,20.0
40,2021-06-25,17:00:00,2021-06-26,03:00:00,gwangju,58,74,21.0
41,2021-06-25,17:00:00,2021-06-26,03:00:00,gyeongbuk,89,91,21.0
42,2021-06-25,17:00:00,2021-06-26,03:00:00,gyeonggi,60,120,21.0
43,2021-06-25,17:00:00,2021-06-26,03:00:00,gyeongnam,91,77,21.0
44,2021-06-25,17:00:00,2021-06-26,03:00:00,incheon,55,124,20.0
45,2021-06-25,17:00:00,2021-06-26,03:00:00,jeju,52,38,22.0
46,2021-06-25,17:00:00,2021-06-26,03:00:00,jeonbuk,63,89,21.0
47,2021-06-25,17:00:00,2021-06-26,03:00:00,jeonnam,51,67,21.0
48,2021-06-25,17:00:00,2021-06-26,03:00:00,sejong,66,103,21.0
49,2021-06-25,17:00:00,2021-06-26,03:00:00,seoul,60,127,21.0
51,2021-06-25,17:00:00,2021-06-26,06:00:00,busan,98,76,20.0
52,2021-06-25,17:00:00,2021-06-26,06:00:00,chungbuk,69,107,20.0
53,2021-06-25,17:00:00,2021-06-26,06:00:00,chungnam,68,100,21.0
54,2021-06-25,17:00:00,2021-06-26,06:00:00,daegu,89,90,20.0
55,2021-06-25,17:00:00,2021-06-26,06:00:00,daejeon,67,100,21.0
56,2021-06-25,17:00:00,2021-06-26,06:00:00,gangwon,73,134,20.0
57,2021-06-25,17:00:00,2021-06-26,06:00:00,gwangju,58,74,21.0
58,2021-06-25,17:00:00,2021-06-26,06:00:00,gyeongbuk,89,91,20.0
59,2021-06-25,17:00:00,2021-06-26,06:00:00,gyeonggi,60,120,21.0
60,2021-06-25,17:00:00,2021-06-26,06:00:00,gyeongnam,91,77,20.0
61,2021-06-25,17:00:00,2021-06-26,06:00:00,incheon,55,124,20.0
62,2021-06-25,17:00:00,2021-06-26,06:00:00,jeju,52,38,22.0
63,2021-06-25,17:00:00,2021-06-26,06:00:00,jeonbuk,63,89,21.0
64,2021-06-25,17:00:00,2021-06-26,06:00:00,jeonnam,51,67,21.0
65,2021-06-25,17:00:00,2021-06-26,06:00:00,sejong,66,103,21.0
66,2021-06-25,17:00:00,2021-06-26,06:00:00,seoul,60,127,20.0
67,2021-06-25,17:00:00,2021-06-26,06:00:00,ulsan,102,84,19.0
68,2021-06-25,17:00:00,2021-06-26,09:00:00,busan,98,76,23.0
69,2021-06-25,17:00:00,2021-06-26,09:00:00,chungbuk,69,107,22.0
70,2021-06-25,17:00:00,2021-06-26,09:00:00,chungnam,68,100,22.0
71,2021-06-25,17:00:00,2021-06-26,09:00:00,daegu,89,90,21.0
72,2021-06-25,17:00:00,2021-06-26,09:00:00,daejeon,67,100,22.0
