기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20160401000000,89390.0,58675.8,64690.0,30714.2,52.3456,30171.2,51.4201
20160401000500,89390.0,57987.1,64690.0,31402.9,54.155,30859.9,53.2186
20160401001000,89390.0,57642.6,64690.0,31747.4,55.0762,31204.4,54.1342
20160401001500,89390.0,57171.6,64690.0,32218.4,56.3538,31675.4,55.404
20160401002000,89390.0,56638.3,64800.0,32751.7,57.8261,32208.7,56.8674
20160401002500,89390.0,56235.1,64800.0,33154.9,58.9576,32611.9,57.992
20160401003000,89390.0,55934.8,64800.0,33455.2,59.811,32912.2,58.8403
20160401003500,89390.0,55933.5,64800.0,33456.5,59.8147,32913.5,58.8439
20160401004000,89390.0,55476.6,64800.0,33913.4,61.1311,33370.4,60.1523
20160401004500,89390.0,55408.2,64800.0,33981.8,61.33,33438.8,60.35
20160401005000,89390.0,55259.1,64800.0,34130.9,61.7653,33587.9,60.7827
20160401005500,89390.0,54918.0,64800.0,34472.0,62.77,33929.0,61.7813
20160401010000,89390.0,54708.8,64800.0,34681.2,63.3924,34138.2,62.3999
20160401010500,89390.0,54822.5,64800.0,34567.5,63.0534,34024.5,62.063
20160401011000,89390.0,54675.7,64800.0,34714.3,63.4914,34171.3,62.4983
20160401011500,89390.0,55195.1,64800.0,34194.9,61.9526,33651.9,60.9689
20160401012000,89390.0,55440.8,64800.0,33949.2,61.235,33406.2,60.2555
20160401012500,89390.0,55165.3,64800.0,34224.7,62.0402,33681.7,61.0559
20160401013000,89390.0,55319.9,64800.0,34070.1,61.5874,33527.1,60.6059
20160401013500,89390.0,55279.4,64800.0,34110.6,61.7057,33567.6,60.7234
20160401014000,89390.0,54900.8,64800.0,34489.2,62.821,33946.2,61.832
20160401014500,89390.0,54712.7,64800.0,34677.3,63.3808,34134.3,62.3884
20160401015000,89390.0,54596.5,64800.0,34793.5,63.7285,34250.5,62.734
20160401015500,89390.0,54609.8,64800.0,34780.2,63.6884,34237.2,62.6941
20160401020000,89390.0,54936.5,64800.0,34453.5,62.7152,33910.5,61.7268
20160401020500,89390.0,54856.3,64800.0,34533.7,62.9529,33990.7,61.9631
20160401021000,89390.0,54698.1,64800.0,34691.9,63.4243,34148.9,62.4315
20160401021500,89390.0,54719.9,64800.0,34670.1,63.3593,34127.1,62.367
20160401022000,89390.0,54689.4,64800.0,34700.6,63.4504,34157.6,62.4576
20160401022500,89390.0,54343.0,64800.0,35047.0,64.4921,34504.0,63.4929
20160401023000,89390.0,54444.8,64800.0,34945.2,64.1847,34402.2,63.1873
20160401023500,89390.0,54364.1,64800.0,35025.9,64.4284,34482.9,63.4296
20160401024000,89390.0,54342.7,64800.0,35047.3,64.4932,34504.3,63.494
20160401024500,89390.0,54096.6,64800.0,35293.4,65.2416,34750.4,64.2378
20160401025000,89390.0,54264.5,64800.0,35125.5,64.7302,34582.5,63.7295
20160401025500,89390.0,54141.2,64800.0,35248.8,65.1053,34705.8,64.1024
20160401030000,89390.0,53930.8,64800.0,35459.2,65.7493,34916.2,64.7424
20160401030500,89390.0,54333.8,64800.0,35056.2,64.52,34513.2,63.5206
20160401031000,89390.0,53944.0,64800.0,35446.0,65.709,34903.0,64.7024
20160401031500,88812.0,54175.8,64800.0,34636.2,63.9329,34093.2,62.9307
20160401032000,88812.0,54072.8,64800.0,34739.2,64.2454,34196.2,63.2412
20160401032500,88812.0,54135.0,64800.0,34677.0,64.0566,34134.0,63.0535
20160401033000,88812.0,54259.4,64800.0,34552.6,63.6804,34009.6,62.6796
20160401033500,88812.0,54018.7,64800.0,34793.3,64.4096,34250.3,63.4044
20160401034000,88812.0,53932.0,64800.0,34880.0,64.6742,34337.0,63.6673
20160401034500,88812.0,53918.9,64800.0,34893.1,64.7142,34350.1,63.7071
20160401035000,88812.0,54071.9,64800.0,34740.1,64.2478,34197.1,63.2436
20160401035500,88812.0,54379.6,64800.0,34432.4,63.3186,33889.4,62.32
20160401040000,88812.0,54378.3,64800.0,34433.7,63.3224,33890.7,62.3239
20160401040500,88812.0,54586.0,64800.0,34226.0,62.7012,33683.0,61.7064
20160401041000,88812.0,54446.1,64800.0,34365.9,63.1191,33822.9,62.1218
20160401041500,88812.0,54127.6,64800.0,34684.4,64.079,34141.4,63.0758
20160401042000,88812.0,54026.3,64800.0,34785.7,64.3866,34242.7,63.3815
20160401042500,88812.0,53674.7,64800.0,35137.3,65.4635,34594.3,64.4519
20160401043000,88812.0,53911.4,64800.0,34900.6,64.737,34357.6,63.7298
20160401043500,88812.0,53871.9,64800.0,34940.1,64.8577,34397.1,63.8497
20160401044000,88812.0,53883.2,64800.0,34928.8,64.8231,34385.8,63.8154
20160401044500,87031.0,53842.6,64800.0,33188.4,61.6398,32645.4,60.6313
20160401045000,87031.0,53533.0,64800.0,33498.0,62.5745,32955.0,61.5601
20160401045500,87031.0,53590.5,64800.0,33440.5,62.3999,32897.5,61.3867
20160401050000,87031.0,53971.3,64800.0,33059.7,61.2542,32516.7,60.2481
20160401050500,87031.0,54135.1,64800.0,32895.9,60.7664,32352.9,59.7634
20160401051000,87031.0,54469.2,64800.0,32561.8,59.7802,32018.8,58.7834
20160401051500,87031.0,54659.2,64800.0,32371.8,59.2248,31828.8,58.2314
20160401052000,87031.0,54525.8,64800.0,32505.2,59.6143,31962.2,58.6185
20160401052500,87031.0,54733.3,64800.0,32297.7,59.0093,31754.7,58.0172
20160401053000,87031.0,55073.4,64800.0,31957.6,58.0272,31414.6,57.0413
20160401053500,87031.0,55361.4,64800.0,31669.6,57.2053,31126.6,56.2245
