기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20210401000000,86224.3,59092.5,66000.0,27131.8,45.9141,7405.86,12.5327
20210401000500,84558.9,58778.3,66000.0,25780.6,43.8608,8178.39,13.914
20210401001000,84539.7,58493.1,66000.0,26046.6,44.5294,8371.41,14.3118
20210401001500,84524.1,58373.7,66000.0,26150.4,44.7982,7813.55,13.3854
20210401002000,84502.6,58107.8,66000.0,26394.8,45.4239,8093.74,13.9288
20210401002500,84488.1,57585.4,66000.0,26902.7,46.718,8659.57,15.0378
20210401003000,84488.3,56950.4,65900.0,27537.9,48.3542,8845.83,15.5325
20210401003500,84481.6,56718.2,65900.0,27763.4,48.9498,8478.78,14.949
20210401004000,84486.3,56803.5,65900.0,27682.9,48.7344,8089.91,14.2419
20210401004500,84489.8,56795.9,65900.0,27693.8,48.7603,7914.67,13.9353
20210401005000,84486.1,56838.8,65900.0,27647.3,48.6416,7696.64,13.5412
20210401005500,84489.2,56794.4,65900.0,27694.8,48.7632,7670.89,13.5064
20210401010000,84492.2,56624.8,65900.0,27867.5,49.2143,7808.61,13.7901
20210401010500,84611.6,56693.0,65900.0,27918.6,49.2452,8013.64,14.1352
20210401011000,84515.3,56847.8,65900.0,27667.5,48.6694,7921.04,13.9338
20210401011500,84512.4,56840.8,65900.0,27671.6,48.6827,8037.75,14.1408
20210401012000,84497.0,56582.3,65900.0,27914.7,49.3347,8281.49,14.6362
20210401012500,84494.8,56311.4,65900.0,28183.4,50.0493,8576.13,15.2298
20210401013000,84484.5,56174.4,65900.0,28310.1,50.3967,8742.66,15.5634
20210401013500,84496.5,56658.1,65900.0,27838.4,49.1341,8329.46,14.7013
20210401014000,84510.8,56522.9,65900.0,27987.9,49.516,8499.68,15.0376
20210401014500,84520.4,56103.7,65900.0,28416.6,50.6502,8930.3,15.9175
20210401015000,84516.2,56625.8,65900.0,27890.4,49.2539,8412.06,14.8555
20210401015500,84515.1,56576.2,65900.0,27938.9,49.3827,8516.46,15.0531
20210401020000,84452.6,56520.3,65900.0,27932.3,49.4199,8521.42,15.0767
20210401020500,84538.4,56802.4,65900.0,27736.0,48.8289,8252.38,14.5282
20210401021000,84538.9,56450.7,65900.0,28088.2,49.757,8619.52,15.2691
20210401021500,84548.4,56470.6,65900.0,28077.8,49.7211,8645.69,15.3101
20210401022000,84545.3,56315.7,65900.0,28229.6,50.1274,8767.36,15.5682
20210401022500,84560.4,56408.4,65900.0,28152.0,49.9075,8688.13,15.4022
20210401023000,84559.3,56202.0,65900.0,28357.3,50.456,8792.59,15.6446
20210401023500,84566.6,56254.3,65900.0,28312.3,50.3291,8642.51,15.3633
20210401024000,84568.9,56248.9,65900.0,28319.9,50.3475,8642.54,15.3648
20210401024500,84579.7,56420.0,65900.0,28159.6,49.9107,8470.05,15.0125
20210401025000,84582.7,56180.9,65900.0,28401.8,50.5542,8617.85,15.3395
20210401025500,84590.2,56035.9,65900.0,28554.3,50.9573,8777.48,15.664
20210401030000,84595.6,55863.1,65900.0,28732.5,51.4338,8940.36,16.0041
20210401030500,84704.5,55995.9,65900.0,28708.6,51.2691,8915.67,15.922
20210401031000,84693.6,56109.1,65900.0,28584.5,50.9445,8819.32,15.7182
20210401031500,84702.3,56047.9,65900.0,28654.3,51.1247,8918.6,15.9125
20210401032000,84712.9,56102.5,65900.0,28610.4,50.9965,8876.66,15.8222
20210401032500,84720.4,56211.1,65900.0,28509.2,50.7182,8767.98,15.5983
20210401033000,84723.4,56158.5,65900.0,28564.9,50.8647,8869.2,15.7932
20210401033500,84766.4,56162.7,65900.0,28603.8,50.9302,8957.89,15.9499
20210401034000,84801.7,56174.6,65900.0,28627.1,50.9609,9055.43,16.1201
20210401034500,84820.0,56020.3,65900.0,28799.7,51.4094,9223.78,16.4651
20210401035000,84837.2,56602.5,65900.0,28234.7,49.8824,8684.28,15.3426
20210401035500,84859.6,56495.3,65900.0,28364.3,50.2065,8839.43,15.6463
20210401040000,84866.3,56487.9,65900.0,28378.4,50.2379,8968.73,15.8772
20210401040500,84933.5,56532.3,65900.0,28401.2,50.2389,9066.87,16.0384
20210401041000,84951.1,56702.8,65900.0,28248.3,49.8181,8869.84,15.6427
20210401041500,84973.9,56715.5,65900.0,28258.4,49.8247,9093.37,16.0333
20210401042000,84987.3,56911.4,65900.0,28076.0,49.3328,8958.13,15.7405
20210401042500,85010.9,56974.9,65900.0,28036.0,49.2076,9031.68,15.852
20210401043000,85019.2,56873.5,65900.0,28145.6,49.4881,9121.83,16.0388
20210401043500,85025.0,56804.2,65900.0,28220.7,49.6807,9355.42,16.4696
20210401044000,85033.2,57104.1,65900.0,27929.1,48.9091,9214.69,16.1366
20210401044500,85060.4,57365.9,65900.0,27694.5,48.277,9042.11,15.7622
20210401045000,85074.1,57626.6,65900.0,27447.5,47.6299,8816.93,15.3001
20210401045500,85080.7,57436.5,65900.0,27644.2,48.13,9095.48,15.8357
20210401050000,85105.3,57596.1,65900.0,27509.2,47.7623,9108.39,15.8143
20210401050500,85120.4,57630.8,65900.0,27489.5,47.6994,9356.41,16.2351
20210401051000,85122.6,57717.8,65900.0,27404.8,47.4807,9308.96,16.1284
20210401051500,85138.0,58050.8,65900.0,27087.3,46.6613,9153.23,15.7676
20210401052000,85161.0,58164.8,65900.0,26996.2,46.4133,9334.23,16.0479
20210401052500,85167.3,58416.3,65900.0,26751.1,45.7938,9253.46,15.8406
20210401053000,85186.7,58577.0,65900.0,26609.8,45.427,9340.28,15.9453
20210401053500,85194.1,58698.1,65900.0,26496.1,45.1396,9341.74,15.9149
20210401054000,85204.1,58834.6,65900.0,26369.6,44.8198,9634.94,16.3763
20210401054500,85200.8,59095.7,65900.0,26105.0,44.1742,9687.08,16.3922
20210401055000,85211.0,59267.8,65900.0,25943.2,43.7729,9776.43,16.4954
20210401055500,85219.9,59446.4,65900.0,25773.5,43.3558,10102.6,16.9945
20210401060000,85218.6,59535.2,65900.0,25683.5,43.14,10204.5,17.1403
20210401060500,85445.5,59909.9,65900.0,25535.5,42.6232,10104.4,16.8659
20210401061000,85448.0,60363.7,65900.0,25084.4,41.5554,9778.93,16.2
20210401061500,85451.4,60174.6,65900.0,25276.7,42.0057,9707.11,16.1316
20210401062000,85459.6,60325.7,65900.0,25133.8,41.6636,9827.84,16.2913
20210401062500,85469.8,60432.0,65900.0,25037.8,41.4314,9771.83,16.17
20210401063000,85494.0,60518.7,65900.0,24975.3,41.2688,9945.5,16.4338
20210401063500,85484.7,60608.4,65900.0,24876.3,41.0443,10258.3,16.9255
20210401064000,85497.8,60690.9,65900.0,24806.9,40.8742,10462.6,17.2392
20210401064500,85501.9,60642.4,65900.0,24859.5,40.9937,10531.1,17.3659
20210401065000,85502.9,60993.1,65900.0,24509.8,40.1845,10523.9,17.2543
20210401065500,85498.7,60957.1,65900.0,24541.6,40.2604,10341.9,16.9658
20210401070000,85502.0,61053.2,65900.0,24448.8,40.0451,10707.8,17.5385
20210401070500,85680.7,61457.7,65900.0,24223.0,39.4141,10993.9,17.8885
20210401071000,85692.6,61397.9,65900.0,24294.7,39.5692,11203.5,18.2474
20210401071500,85769.4,61628.8,65900.0,24140.6,39.171,11740.8,19.0509
20210401072000,85809.1,61693.5,65900.0,24115.6,39.0893,11781.9,19.0974
20210401072500,85849.7,61131.7,65900.0,24718.1,40.4341,12061.4,19.7303
20210401073000,85887.5,61214.8,65900.0,24672.7,40.3051,12590.6,20.568
20210401073500,85907.1,61519.0,65900.0,24388.1,39.6432,12955.4,21.0591
20210401074000,85918.0,61462.5,65900.0,24455.5,39.7892,13173.6,21.4336
20210401074500,85925.8,61336.5,65900.0,24589.3,40.0892,13467.0,21.9559
20210401075000,85935.8,61302.3,65900.0,24633.5,40.1836,13714.3,22.3715
20210401075500,85959.7,61447.6,65900.0,24512.1,39.8911,13740.6,22.3616
20210401080000,85974.3,62116.6,65900.0,23857.7,38.4079,13083.6,21.063
20210401080500,85740.2,62582.0,65900.0,23158.3,37.0047,12440.4,19.8785
20210401081000,85738.9,62409.5,65900.0,23329.4,37.3811,12060.7,19.3251
20210401081500,85892.3,62668.9,65900.0,23223.4,37.0572,12140.5,19.3724
20210401082000,86035.2,62983.6,65900.0,23051.6,36.5993,11924.9,18.9333
20210401082500,86173.4,63271.9,65900.0,22901.5,36.1954,11654.4,18.4196
20210401083000,86223.6,63386.3,65900.0,22837.3,36.0288,11495.3,18.1353
20210401083500,86250.3,63586.2,65900.0,22664.2,35.6432,11315.2,17.795
20210401084000,86259.4,63652.7,65900.0,22606.6,35.5156,11275.5,17.7141
20210401084500,86251.6,63294.3,65900.0,22957.3,36.2707,11611.1,18.3447
20210401085000,86274.2,63192.2,65900.0,23082.0,36.5266,11747.3,18.5897
20210401085500,86300.7,63135.3,65900.0,23165.4,36.6916,11852.6,18.7733
20210401090000,86291.5,62528.6,65900.0,23762.9,38.0033,12462.4,19.9308
20210401090500,86203.7,62243.9,65900.0,23959.9,38.4935,12735.5,20.4606
20210401091000,86220.6,62068.8,65900.0,24151.8,38.9113,12919.5,20.8147
20210401091500,86381.3,62170.9,65900.0,24210.4,38.9416,12677.5,20.3914
20210401092000,86530.3,62029.8,65900.0,24500.5,39.498,13022.3,20.9936
20210401092500,86700.8,62280.9,65900.0,24419.9,39.2093,12658.4,20.3247
20210401093000,86782.3,61984.5,65900.0,24797.8,40.0064,12778.4,20.6155
20210401093500,86791.6,62073.4,65900.0,24718.2,39.821,12524.5,20.177
20210401094000,86789.4,61931.8,65900.0,24857.6,40.1371,12356.4,19.9516
20210401094500,86806.0,61967.3,65900.0,24838.7,40.0835,12209.5,19.7031
20210401095000,86817.6,62076.1,65900.0,24741.5,39.8567,11555.1,18.6144
20210401095500,86798.2,61953.4,65900.0,24844.8,40.1023,11421.2,18.4351
20210401100000,86783.6,61457.8,65900.0,25325.8,41.2085,11726.1,19.08
20210401100500,86512.0,61249.3,65900.0,25262.8,41.2458,11382.4,18.5837
20210401101000,86524.2,61140.3,65900.0,25383.9,41.5174,11020.5,18.0248
20210401101500,86630.3,61470.5,65900.0,25159.8,40.9299,10750.4,17.4888
20210401102000,86738.8,61611.7,65900.0,25127.0,40.7828,10351.1,16.8005
20210401102500,86778.9,61524.9,65900.0,25254.0,41.0468,10251.8,16.6628
