id,cdate,coal_aus,coal_safrica,crude_petro,crude_brent,crude_dubai,crude_wti,ngas_index,ngas_eur,ngas_us,ngas_jp
1,2015-01-01,61.44,59.29,47.1066666666667,48.07,45.98,47.27,91.0591046325555,9.25,2.9743,16.1873379709448
2,2015-02-01,69.05,63.48,54.79,57.93,55.83,50.61,83.5202628913693,8.27,2.8478,14.2038341442813
3,2015-03-01,64.76,59.92,52.8266666666667,55.79,54.91,47.78,82.1594987681292,8.27,2.8006,13.0413193243923
4,2015-04-01,56.24,58.95,57.5433333333333,59.39,58.8,54.44,70.9413090667932,6.77444566674586,2.5797,10.9366594801425
5,2015-05-01,61.19,61.63,62.5066666666667,64.56,63.69,59.27,72.5677688516218,6.68399731108114,2.8383,9.33690016387327
6,2015-06-01,58.96,60.71,61.3066666666667,62.34,61.78,59.8,71.5464353546432,6.66672592954467,2.7692,9.18912211656155
7,2015-07-01,59.9,57.9,54.34,55.87,56.25,50.9,72.6218760115591,6.69403713465372,2.83,9.49508325844636
8,2015-08-01,59.14,55.02,45.69,46.99,47.22,42.86,70.3697741364372,6.34573758327927,2.763,9.81583965795666
9,2015-09-01,57.65,51.38,46.28,47.24,46.15,45.45,68.9642329014921,6.27869866033782,2.6461,10.3069439491419
10,2015-10-01,54.26,50.11,46.9566666666667,48.12,46.55,46.2,63.6140501008889,6.02695782059877,2.3152,10.1074268104243
11,2015-11-01,52.47,53.34,43.1133333333333,44.42,42.22,42.7,57.8254228120485,5.5008338512307,2.0775,9.51558591385069
12,2015-12-01,52.21,48.77,36.5733333333333,37.72,34.77,37.23,53.7119114754616,5.0927629826203,1.9228,9.08019629211058
13,2016-01-01,49.02,49.09,29.78,30.8,27,31.54,54.2202536875652,4.39818627540541,2.2744,8.40230220526643
14,2016-02-01,50.27,50.33,31.03,33.2,29.5,30.39,48.4331801050447,3.96837858928349,1.9572,8.5618581322841
15,2016-03-01,52.21,52.57,37.34,39.07,35.18,37.77,44.4948339319541,3.91018024309544,1.7017,7.73669809551356
16,2016-04-01,50.69,52.35,40.75,42.25,39.04,40.96,46.626993177277,3.97007508978746,1.9047,6.82497956424781
17,2016-05-01,51.31,54.24,45.9366666666667,47.13,43.95,46.73,48.1675590696896,4.32919186505527,1.922,6.26889250691803
18,2016-06-01,52.85,58.59,47.6866666666667,48.48,45.83,48.75,58.1129273183442,4.75572046689423,2.5666,6.40180116949261
19,2016-07-01,61.24,62.39,44.1266666666667,45.07,42.62,44.69,60.6559913692003,4.67473769134718,2.7879,6.75711864704915
20,2016-08-01,67.39,66.34,44.8766666666667,46.14,43.74,44.75,57.9738622861491,4.04748993020478,2.7913,7.1386747240458
21,2016-09-01,72.72,68.33,45.0433333333333,46.19,43.74,45.2,61.3821894646207,4.2536141699485,2.9689,7.53979290081361
22,2016-10-01,94.2,83.79,49.2933333333333,49.73,48.26,49.89,66.3690971113946,5.33681888344991,2.9492,7.6528666460144
23,2016-11-01,103.43,89.15,45.26,46.44,43.77,45.57,62.5785136276729,5.69317950114529,2.5009,7.59258875196391
24,2016-12-01,88.15,80.19,52.62,54.07,51.78,52.01,74.4216778981001,5.42350142239831,3.5818,7.591754152286
25,2017-01-01,83.73,86.49,53.59,54.89,53.37,52.51,74.2557723377504,6.14434925480129,3.2608,8.04227686050844
26,2017-02-01,79.98,83.6,54.3533333333333,55.49,54.17,53.4,68.7545506432523,6.05158364479884,2.8233,8.41498731545654
27,2017-03-01,80.9,79.11,50.9033333333333,51.97,51.16,49.58,64.4249490597498,5.00094507653751,2.8875,8.24598306107463
28,2017-04-01,83.65,78.89,52.1633333333333,52.98,52.45,51.06,67.1845830772596,5.0109139182969,3.082,8.76311875468926
29,2017-05-01,74.42,74.41,49.8933333333333,50.87,50.31,48.5,68.1563108463948,5.05843597846924,3.1248,9.09680852049402
30,2017-06-01,81.09,79.2,46.1666666666667,46.89,46.44,45.17,64.9631976087366,4.88676678562716,2.941,8.88270970470137
31,2017-07-01,87.49,81.69,47.6566666666667,48.69,47.63,46.65,65.7514556154873,5.00392083226283,2.9614,8.85848232733636
32,2017-08-01,98.58,87.84,49.9433333333333,51.37,50.43,48.03,66.9964497078803,5.47660118187128,2.8757,8.91541540716414
33,2017-09-01,97.82,92.26,52.95,55.16,53.86,49.83,70.1748807394026,5.96114997199473,2.963,8.64202999793549
34,2017-10-01,97.11,91.43,54.92,57.62,55.58,51.56,69.7708652852978,6.17632034854047,2.8638,8.31389889259841
35,2017-11-01,96.64,91.39,59.9333333333333,62.57,60.58,56.65,73.8756866155341,6.69459903981659,2.9913,8.45066567640872
36,2017-12-01,100.81,95.48,61.1866666666667,64.21,61.41,57.94,73.2917274636374,7.13893361413113,2.7583,8.64711381529612
37,2018-01-01,106.45,97.48,66.2266666666667,68.99,66.02,63.67,84.8216292756154,6.6622550131406,3.8556,9.34246387584777
38,2018-02-01,105.95,92.68,63.46,65.42,62.79,62.17,71.0301204239791,6.71874976650478,2.6708,9.82569311019173
39,2018-03-01,96.66,89.5,64.1666666666667,66.45,63.29,62.76,71.46245729274,6.69738764035649,2.6989,10.1100690910522
40,2018-04-01,93.69,92.32,68.7933333333333,71.63,68.43,66.32,73.5187280549998,6.92785820242064,2.7791,10.0904697482229
41,2018-05-01,105.29,101.89,73.43,76.65,73.66,69.98,76.5074594875825,7.48735405732204,2.7972,10.2515169620426
42,2018-06-01,114.33,103.88,71.9766666666667,75.19,73.22,67.52,78.3380110340419,7.44894284404401,2.9523,10.4429876297895
43,2018-07-01,119.57,106.02,72.6666666666667,74.44,72.72,70.84,77.5044930687514,7.59883923024716,2.8251,10.4407969031304
44,2018-08-01,117.34,98.48,71.0833333333333,73.13,72.13,67.99,81.71356939636,8.08490993843807,2.9572,10.8750000000703
45,2018-09-01,114.16,102.14,75.3633333333333,78.86,77.02,70.21,89.1675700140237,9.5215770312076,2.9847,11.30331690113
46,2018-10-01,108.73,100.34,76.7266666666667,80.47,78.96,70.75,89.5707956167827,8.79096072973592,3.284,11.6605802342067
47,2018-11-01,100.73,91.58,62.3166666666667,65.17,65.11,56.67,97.3624678921418,8.26507901291447,4.1293,11.7002946216201
48,2018-12-01,101.37,95.41,53.96,56.46,56.47,48.95,94.4065778513486,7.9762423800888,3.9825,11.9953207961065
49,2019-01-01,98.56,91.29,56.5833333333333,59.27,58.96,51.52,79.9703624512512,7.26234323345276,3.0725,12.0072926172613
50,2019-02-01,95.42,84.16,61.1333333333333,64.13,64.32,54.95,69.4175362658635,6.00579712219701,2.7066,11.8065816483341
51,2019-03-01,93.12,78.81,63.7866666666667,66.41,66.8,58.15,67.827107142072,5.17873567412962,2.928,11.2941866073995
52,2019-04-01,86.77,72.49,68.5766666666667,71.2,70.66,63.87,62.4047051991927,4.92218081968463,2.6393,10.2654610698676
53,2019-05-01,82.32,68.93,66.8333333333333,70.53,69.13,60.84,59.2583997975526,4.34105529405496,2.6144,10.1454884942687
54,2019-06-01,72.49,62.94,59.76,63.3,61.3,54.68,52.7621632220749,3.58800651227246,2.38,10.0423778769158
55,2019-07-01,72.08,65.79,61.4766666666667,64,62.91,57.52,52.525815156502,3.62037140560865,2.3431,10.1278112242728
56,2019-08-01,65.55,60.43,57.67,59.25,58.92,54.84,51.8201247214821,3.67677516040554,2.222,10.8609986382401
57,2019-09-01,65.95,61.37,60.04,62.33,60.84,56.95,58.092938109431,4.20525568494184,2.5718,10.1417004063259
58,2019-10-01,69.2,67.44,57.2733333333333,59.37,58.47,53.98,58.1671006050341,5.05721785787313,2.2532,9.98352408584083
59,2019-11-01,66.99,73.62,60.4033333333333,62.74,61.41,57.06,63.265469067169,5.15000421730735,2.6336,10.0395033079115
60,2019-12-01,66.18,76.03,63.3533333333333,65.85,64.41,59.8,55.5465870157314,4.62047221238545,2.2043,10.0566968114399
61,2020-01-01,69.66,82.09,61.6266666666667,63.6,63.76,57.52,48.5240449098561,3.63338434726692,2.0219,9.88695006327185
62,2020-02-01,67.64,79.99,53.3466666666667,55,54.51,50.53,43.6126601470824,2.90777364105976,1.9011,9.89443050552681
63,2020-03-01,66.74,67.89,32.2033333333333,32.98,33.75,29.88,41.4197976896606,2.71886838174516,1.7767,10.212991997125
