기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,기타,합계
2021/05,합계,23250,37890.78200000001,400,2082.3450000000003,41498.336,4700,4767.447,125653.38799999995
2021/04,합계,23250,37970.78200000001,400,2082.3450000000003,41791.836,4700,4767.447,125964.10399999998
2021/03,합계,23250,37970.78200000001,400,2082.3450000000003,40746.086,4700,4767.447,124865.77199999998
2021/02,합계,23250,37970.78200000001,400,2082.3450000000003,40746.086,4700,4767.447,124781.955
2021/01,합계,23250,37964.28200000001,400,2082.3450000000003,40746.086,4700,4766.952,124648.11899999999
2020/12,합계,23250,37946.28200000001,400,2082.3450000000003,40746.086,4700,4766.952,124524.52199999998
2020/11,합계,23250,37946.28200000001,400,2082.3450000000003,40746.086,4700,4760.252,124359.09499999997
2020/10,합계,23250,36906.28200000001,400,2082.3450000000003,40746.086,4700,4763.142,123175.89799999997
2020/09,합계,23250,36906.28200000001,400,2170.3450000000003,40746.086,4700,4665.642,123027.32499999998
2020/08,합계,23250,36906.28200000001,400,2121.1279999999997,40746.086,4700,4665.642,122743.81299999998
2020/07,합계,23250,36906.28200000001,400,2121.1279999999997,40746.086,4700,4665.642,122718.41599999998
2020/06,합계,23250,36906.28200000001,600,2121.1279999999997,40296.086,4700,4655.742,122185.16899999998
2020/05,합계,23250,36906.28200000001,600,2072.6140000000005,40296.086,4700,4655.742,121793.169
2020/04,합계,23250,36906.28200000001,600,2024.1000000000001,40296.086,4700,4655.742,121578.56399999998
2020/03,합계,23250,36906.28200000001,600,2024.1000000000001,40296.086,4700,4652.742,121494.825
2020/02,합계,23250,36906.28200000001,600,2024.1000000000001,40296.086,4700,4639.742,121421.006
2020/01,합계,23250,36906.28200000001,600,2024.1000000000001,40296.086,4700,4642.242,121283.513
2019/12,합계,23250,36856.28200000001,600,3687.19,38667.352000000006,4700,4623.042,121123.55400000002
2019/11,합계,23250,36856.28200000001,600,3771.546,38562.352000000006,4700,4623.042,120898.59400000003
2019/10,합계,23250,36856.28200000001,600,3771.546,38553.179000000004,4700,4610.902,120811.58400000002
2019/09,합계,23250,36856.28200000001,600,3771.546,38553.179000000004,4700,81.49,120765.18800000002
2019/08,합계,23250,36856.28200000001,600,3771.546,38553.37900000001,4700,81.49,119378.53500000002
2019/07,합계,23250,36856.28200000001,600,3771.546,38553.37900000001,4700,81.49,119331.29700000002
2019/06,합계,23250,36856.28200000001,600,3871.546,38270.47900000001,4700,81.49,118871.922
2019/05,합계,23250,36856.28200000001,600,3871.546,38261.306000000004,4700,81.49,118717.971
2019/04,합계,23250,36856.28200000001,600,3946.546,37680.906,4700,81.49,118087.431
2019/03,합계,21850,36856.27700000001,600,3946.546,37320.906,4700,76.7,116292.82600000002
2019/02,합계,21850,36856.27700000001,600,4121.546,37320.906,4700,76.7,116240.20000000001
2019/01,합계,21850,36856.27700000001,600,4121.546,36960.906,4700,76.7,115817.27100000001
2018/12,합계,21850,36763.23700000001,600,4121.546,36960.906,4700,76.7,115663.64600000001
2018/11,합계,21850,36763.23700000001,600,4121.546,36960.906,4700,76.7,115596.147
2018/10,합계,21850,36763.23700000001,600,4121.546,36510.906,4700,76.7,115071.39600000001
2018/09,합계,21850,36763.23700000001,600,4121.546,36510.906,4700,76.7,114970.47499999999
2018/08,합계,21850,36763.23700000001,600,4121.546,35610.906,4700,76.7,113925.81699999998
2018/07,합계,21850,36763.23700000001,600,4121.546,35610.906,4700,76.7,113871.71099999998
2018/06,합계,21850,36670.202000000005,600,4137.846,35610.906,4700,76.7,113693.52999999997
2018/05,합계,22528.683,36670.202000000005,600,4044.1229999999996,35610.906,4700,76.7,114228.39799999999
2018/04,합계,22528.683,36500.30200000001,600,4044.1229999999996,35610.906,4700,76.7,113987.584
2018/03,합계,22528.683,36500.30200000001,600,3950.3999999999996,35610.906,4700,78.42,113855.497
2018/02,합계,22528.683,36500.30200000001,600,3950.3999999999996,35449.936,4700,81.51,113654.095
2018/01,합계,22528.683,36500.30200000001,600,3950.3999999999996,35129.216,4700,81.51,113288.256
2017/12,합계,22528.683,36500.302,600,3950.4,35609.216,4700,81.51,113667.449
2017/11,합계,22528.683,36500.302,600,4010.4,35609.216,4700,21.51,113460.845
2017/10,합계,22528.683,36500.302,600,4010.4,35609.216,4700,63.41,113414.572
2017/09,합계,22528.683,36401.302,600,4010.4,35642.416,4700,63.41,113303.62
2017/08,합계,22528.683,36430.313,600,4013.5,35534.506,4700,63.41,113122.471
2017/07,합계,22528.683,36430.313,600,4013.5,35402.596,4700,63.41,112947.754
2017/06,합계,22528.683,36430.313,1000,4013.5,34684.44,4700,63.41,112592.701
2017/05,합계,23115.683,36459.324,1000,4013.5,34437.97,4700,63.41,112925.561
2017/04,합계,23115.683,35774.424,1000,4013.5,34476.77,4700,63.41,112236.08
2017/03,합계,23115.683,35745.924,1125,4013.5,34840.015,4700,63.41,112523.709
2017/02,합계,23115.683,35745.924,1125,4013.5,34990.095,4700,65.86,112591.06
2017/01,합계,23115.683,32718.924,1125,4015.5,34259.695,4700,65.86,108824.822
2016/12,합계,23115.683,32629.024,1125,4015.5,33769.166,4700,57.16,108245.842
2016/11,합계,23115.683,32629.024,1125,4015.5,31983.05,4700,57.16,106334.497
2016/10,합계,23115.683,32629.024,1125,4015.5,31658.77,4700,57.16,105908.741
2016/09,합계,23115.683,31674.024,1125,4015.5,30428.77,4700,57.16,103657.093
2016/08,합계,23115.683,31674.024,1125,4015.5,30428.77,4700,57.16,103574.22
2016/07,합계,23115.683,30652.024,1125,4015.5,30428.77,4700,57.16,102526.611
2016/06,합계,23115.683,30741.924,1125,4015.5,30428.77,4700,57.16,102569.004
2016/05,합계,23115.683,29691.924,1125,4015.5,30428.99,4700,40.12,101464.803
2016/04,합계,23115.683,29691.924,1125,4015.5,30428.99,4700,40.12,102459.5
2016/03,합계,23115.683,28761.824,1125,4015.5,30428.99,4700,40.12,101492.694
2016/02,합계,23115.683,27826.824,1125,4015.5,30428.99,4700,40.12,100537.991
2016/01,합계,23115.683,27431.854,1125,4015.5,30428.99,4700,40.12,100133.018
2015/12,합계,21715.683,27431.854,1125,4099.5,30482.49,4700,10.62,98812.211
2015/11,합계,21715.683,27431.854,1125,4099.5,30482.49,4700,6.92,98748.914
2015/10,합계,21715.683,27280.354,1125,4099.5,30482.49,4700,6.92,98564.2
2015/09,합계,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97960.944
2015/08,합계,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97945.327
2015/07,합계,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97785.316
2015/06,합계,21715.683,26111.004,1125,4099.5,30046.39,4700,0.3,96698.871
2015/05,합계,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,96129.023
2015/04,합계,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95926.764
2015/03,합계,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95640.938
2015/02,합계,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95586.882
2015/01,합계,20715.683,26111.004,1125,4099.5,29279.95,4700,0.3,94284.941
2014/12,합계,20715.683,26111.004000000004,1125,4099.5,28707.349999999995,4700,0.3,93663.39799999999
2014/11,합계,20715.683,26111.004000000004,1125,4099.5,28421.949999999993,4700,0.3,93347.18199999999
2014/10,합계,20715.683,26111.004000000004,1125,4099.5,28039.549999999992,4700,0.3,92878.92699999998
2014/09,합계,20715.683,26111.004000000004,1125,4039.4999999999995,28591.149999999987,4700,0.3,93338.08899999999
2014/08,합계,20715.683,26111.004000000004,1125,4039.4999999999995,29041.149999999987,4700,0.3,93766.09999999999
2014/07,합계,20715.683,26111.004000000004,1125,4039.4999999999995,28115.849999999988,4700,0.3,92796.45099999999
2014/06,합계,20715.683,26111.004000000004,1125,4039.4999999999995,26187.349999999988,4700,0.3,90792.34699999998
2014/05,합계,20715.683,25241.004000000004,1125,4039.4999999999995,25868.449999999986,4700,0.3,89545.96799999998
2014/04,합계,20715.683,25241.004000000004,1125,4239.5,25294.04999999999,4700,0.3,89148.18499999998
2014/03,합계,20715.683,25241.004000000004,1125,4239.5,24396.74999999999,4700,0.3,88217.80099999998
2014/02,합계,20715.683,25241.004000000004,1125,4239.5,24396.74999999999,4700,0.3,88200.82999999999
2014/01,합계,20715.683,25241.004000000004,1125,5039.5,23512.74999999999,4700,0.3,88106.79199999999
2013/12,합계,20715.683,24371.004000000004,1125,5039.5,23512.74999999999,4700,0.3,87074.96099999998
2013/11,합계,20715.683,24371.004000000004,1125,5039.5,22571.449999999993,4700,0.3,86024.83499999999
2013/10,합계,20715.683,24371.004000000004,1125,5039.5,22571.00899999999,4700,0.3,85929.90899999999
2013/09,합계,20715.683,24371.004000000004,1125,5039.5,22571.00899999999,4700,0,85844.00899999999
2013/08,합계,20715.683,24371.004000000004,1125,5039.5,22571.00899999999,4700,0,85797.19899999998
2013/07,합계,20715.683,24371.004000000004,1125,5039.5,22658.20899999999,4700,0,85612.51899999999
2013/06,합계,20715.683,24371.004000000004,1125,5039.5,22128.20899999999,4700,0,85038.62399999998
2013/05,합계,20715.683,24371.004000000004,1125,5060.3,20964.688999999995,4700,0,83845.90699999999
2013/04,합계,20715.683,24371.004000000004,1125,5060.3,20386.488999999994,4700,0,83033.23299999998
2013/03,합계,20715.683,24312.004000000004,1125,5060.3,20386.488999999994,4700,0,82859.41599999998
2013/02,합계,20715.683,24312.004000000004,1125,5100.3,19940.07899999999,4700,0,82440.98799999998
2013/01,합계,20715.683,24312.004000000004,1125,5100.3,19940.07899999999,4700,0,82438.86399999997
2012/12,합계,20715.683,24312.004,1125,5100.3,20138.479,4700,13.3,82620.864
2012/11,합계,20715.683,24312.004,1125,5100.3,20138.479,4700,13.3,82563.49
2012/10,합계,20715.683,24312.004,1125,5100.3,20138.479,4700,13.3,82547.912
2012/09,합계,20715.683,24312.004,1125,5100.3,20138.479,4700,13.3,82504.83
2012/08,합계,20715.683,24312.004,1125,5100.3,20138.479,4700,13.3,82485.374
2012/07,합계,20715.683,24312.004,1125,5100.3,19584.079,4700,13.3,81928.67
2012/06,합계,20715.683,24312.004,1125,5100.3,18751.079,4700,13.3,81091.398
2012/05,합계,20715.683,24312.004,1125,5060.3,18504.071,4700,13.3,80792.449
2012/04,합계,20715.683,24263.604,1125,5060.3,18504.071,4700,13.3,80726.252
2012/03,합계,20715.683,24263.604,1125,5300.3,18504.071,4700,13.3,80935.516
2012/02,합계,20715.683,24263.604,1125,5300.3,18504.071,4700,13.3,80912.532
2012/01,합계,20715.683,24263.604,1125,5300.3,18504.071,4700,13.3,80903.942
2011/12,합계,18715.683,24253.804,1125,5336.7,18504.071,4700,13.3,78919.629
2011/11,합계,18715.683,24253.804,1125,5336.7,18504.071,4700,13.3,78830.535
2011/10,합계,18715.683,24253.804,1125,5336.7,18504.071,4700,13.3,78815.936
2011/09,합계,18715.683,24253.804,1125,5336.7,18504.071,4700,13.3,78801.887
2011/08,합계,18715.683,24253.804,1125,5336.7,18954.071,4700,13.3,79235.727
2011/07,합계,18715.683,24253.804,1125,5336.7,18945.071,4300,13.3,78816.969
2011/06,합계,18715.683,24253.804,1125,5336.7,18945.071,3900,13.3,78402.091
2011/05,합계,18715.683,23925.204,1125,5665.3,18843.371,3900,13.3,78298.425
2011/04,합계,18715.683,23925.204,1125,5665.3,18843.371,3900,13.3,78297.225
2011/03,합계,18715.683,23925.204,1125,5665.3,18837.371,3900,13.3,78039.875
2011/02,합계,18715.683,23925.204,1125,5665.3,18837.371,3900,13.3,78030.206
2011/01,합계,18715.683,23925.204,1125,5665.3,18837.371,3900,13.3,78027.906
2010/12,합계,18715.683,23925.204,1125,5665.3,18262.771,3900,13.3,77453.251
2010/11,합계,18715.683,23802.304,1125,5665.3,18262.771,3900,13.3,77329.856
2010/10,합계,18715.683,23802.304,1125,5665.3,18214.471,3900,13.3,77148.046
2010/09,합계,18715.683,23802.304,1125,5706.5,18214.471,3900,13.3,77179.683
2010/08,합계,18715.683,23802.304,1125,5706.5,17639.871,3900,13.3,76492.083
2010/07,합계,17715.683,23802.304,1125,5706.5,17124.371,3900,13.3,74868.351
2010/06,합계,17715.683,23802.304,1125,5706.5,16957.057,3900,13.3,74562.087
2010/05,합계,17715.683,23803.803,1125,5706.5,16670.647,3900,13.3,74258.723
2010/04,합계,17715.683,23803.803,1125,5706.5,15728.247,3900,13.3,73315.323
2010/03,합계,17715.683,23803.803,1125,5706.5,15728.247,3900,13.3,73307.668
2010/02,합계,17715.683,23803.803,1125,5706.5,15728.247,3900,13.3,73306.056
2010/01,합계,17715.683,23803.803,1125,5706.5,15728.247,3900,13.3,73315.407
2009/12,합계,17715.683,23798.792,1125,5706.5,15728.247,3900,13.3,73334.261
2009/11,합계,17715.683,23798.792,1125,5706.5,15010.247,3900,13.3,72507.154
2009/10,합계,17715.683,23767.315,1125,5706.5,14822.947,3900,13.3,72167.764
2009/09,합계,17715.683,23767.315,1125,5706.5,14822.947,3900,13.3,72155.692
2009/08,합계,17715.683,23767.315,1125,5706.5,15147.947,3900,13.3,72435.486
2009/07,합계,17715.683,23517.315,1125,5706.5,15147.947,3900,13.3,72142.887
2009/06,합계,17715.683,23517.315,1125,5706.5,15472.947,3900,13.3,72464.797
2009/05,합계,17715.683,23517.315,1125,5706.5,15291.997,3900,13.3,72280.093
2009/04,합계,17715.683,23517.315,1125,5666.5,15291.997,3900,13.3,72227.359
2009/03,합계,17715.683,23517.315,1125,5666.5,15291.997,3900,13.3,72215.788
